# Efficiencies for chargino-neutralino (without the mass window cut)
  mC1 (GeV)     tau (ns)     eff(SR-Low)     eff(SR-High)
7.000000e+02  4.000000e+00  7.970283e-03  1.205074e-02
7.000000e+02  4.000000e+00  7.970283e-03  1.205074e-02
7.000000e+02  1.000000e+01  1.027604e-02  1.908601e-02
7.000000e+02  1.000000e+01  1.027604e-02  1.908601e-02
7.000000e+02  3.000000e+01  1.007179e-02  1.757003e-02
7.000000e+02  3.000000e+01  1.007179e-02  1.757003e-02
7.000000e+02  1.000000e+02  8.179071e-03  1.123828e-02
7.000000e+02  1.000000e+02  8.179071e-03  1.123828e-02
8.000000e+02  1.000000e+00  1.472887e-03  9.454245e-04
8.000000e+02  1.000000e+00  1.472887e-03  9.454245e-04
8.000000e+02  4.000000e+00  7.846697e-03  1.327974e-02
8.000000e+02  4.000000e+00  7.846697e-03  1.327974e-02
8.000000e+02  1.000000e+01  1.062845e-02  2.032500e-02
8.000000e+02  1.000000e+01  1.062845e-02  2.032500e-02
8.000000e+02  3.000000e+01  1.043741e-02  1.918340e-02
8.000000e+02  3.000000e+01  1.043741e-02  1.918340e-02
8.000000e+02  1.000000e+02  9.081480e-03  1.321451e-02
8.000000e+02  1.000000e+02  9.081480e-03  1.321451e-02
9.000000e+02  2.000000e-01  3.553948e-06  3.267532e-07
9.000000e+02  2.000000e-01  3.553948e-06  3.267532e-07
9.000000e+02  1.000000e+00  1.705131e-03  1.337086e-03
9.000000e+02  1.000000e+00  1.705131e-03  1.337086e-03
9.000000e+02  4.000000e+00  8.224920e-03  1.369070e-02
9.000000e+02  4.000000e+00  8.224920e-03  1.369070e-02
9.000000e+02  1.000000e+01  1.120842e-02  2.207315e-02
9.000000e+02  1.000000e+01  1.120842e-02  2.207315e-02
9.000000e+02  3.000000e+01  1.062127e-02  2.349568e-02
9.000000e+02  3.000000e+01  1.062127e-02  2.349568e-02
9.000000e+02  1.000000e+02  9.017338e-03  1.548080e-02
9.000000e+02  1.000000e+02  9.017338e-03  1.548080e-02
1.000000e+03  2.000000e-01  8.106429e-07  1.443973e-07
1.000000e+03  2.000000e-01  8.106429e-07  1.443973e-07
1.000000e+03  1.000000e+00  1.372375e-03  1.535272e-03
1.000000e+03  1.000000e+00  1.372375e-03  1.535272e-03
1.000000e+03  4.000000e+00  9.605662e-03  1.727962e-02
1.000000e+03  4.000000e+00  9.605662e-03  1.727962e-02
1.000000e+03  1.000000e+01  1.285881e-02  2.782711e-02
1.000000e+03  1.000000e+01  1.285881e-02  2.782711e-02
1.000000e+03  3.000000e+01  1.134996e-02  2.633749e-02
1.000000e+03  3.000000e+01  1.134996e-02  2.633749e-02
1.000000e+03  1.000000e+02  9.485531e-03  1.691923e-02
1.000000e+03  1.000000e+02  9.485531e-03  1.691923e-02
1.100000e+03  2.000000e-01  5.504356e-09  8.732401e-10
1.100000e+03  2.000000e-01  5.504356e-09  8.732401e-10
1.100000e+03  1.000000e+00  1.394241e-03  1.986867e-03
1.100000e+03  1.000000e+00  1.394241e-03  1.986867e-03
1.100000e+03  4.000000e+00  8.374275e-03  1.717536e-02
1.100000e+03  4.000000e+00  8.374275e-03  1.717536e-02
1.100000e+03  1.000000e+01  1.136684e-02  2.940072e-02
1.100000e+03  1.000000e+01  1.136684e-02  2.940072e-02
1.100000e+03  3.000000e+01  1.051322e-02  2.902788e-02
1.100000e+03  3.000000e+01  1.051322e-02  2.902788e-02
1.100000e+03  1.000000e+02  9.110151e-03  1.865202e-02
1.100000e+03  1.000000e+02  9.110151e-03  1.865202e-02
1.200000e+03  2.000000e-01  1.029263e-09  9.647138e-11
1.200000e+03  2.000000e-01  1.029263e-09  9.647138e-11
1.200000e+03  1.000000e+00  1.962711e-03  1.908752e-03
1.200000e+03  1.000000e+00  1.962711e-03  1.908752e-03
1.200000e+03  4.000000e+00  9.289089e-03  1.945061e-02
1.200000e+03  4.000000e+00  9.289089e-03  1.945061e-02
1.200000e+03  1.000000e+01  1.239050e-02  3.290012e-02
1.200000e+03  1.000000e+01  1.239050e-02  3.290012e-02
1.200000e+03  3.000000e+01  1.207783e-02  3.122586e-02
1.200000e+03  3.000000e+01  1.207783e-02  3.122586e-02
1.200000e+03  1.000000e+02  1.036828e-02  2.002550e-02
1.200000e+03  1.000000e+02  1.036828e-02  2.002550e-02
1.300000e+03  2.000000e-01  0.000000e+00  0.000000e+00
1.300000e+03  2.000000e-01  0.000000e+00  0.000000e+00
1.300000e+03  1.000000e+00  1.434806e-03  1.573897e-03
1.300000e+03  1.000000e+00  1.434806e-03  1.573897e-03
1.300000e+03  4.000000e+00  8.108701e-03  1.824458e-02
1.300000e+03  4.000000e+00  8.108701e-03  1.824458e-02
1.300000e+03  1.000000e+01  1.205454e-02  3.161111e-02
1.300000e+03  1.000000e+01  1.205454e-02  3.161111e-02
1.300000e+03  3.000000e+01  1.200522e-02  3.241508e-02
1.300000e+03  3.000000e+01  1.200522e-02  3.241508e-02
1.300000e+03  1.000000e+02  9.672240e-03  2.008926e-02
1.300000e+03  1.000000e+02  9.672240e-03  2.008926e-02
1.400000e+03  2.000000e-01  0.000000e+00  0.000000e+00
1.400000e+03  2.000000e-01  0.000000e+00  0.000000e+00
1.400000e+03  1.000000e+00  1.504793e-03  1.932566e-03
1.400000e+03  1.000000e+00  1.504793e-03  1.932566e-03
1.400000e+03  4.000000e+00  8.681885e-03  1.986670e-02
1.400000e+03  4.000000e+00  8.681885e-03  1.986670e-02
1.400000e+03  1.000000e+01  1.199385e-02  3.378199e-02
1.400000e+03  1.000000e+01  1.199385e-02  3.378199e-02
1.400000e+03  3.000000e+01  1.154382e-02  3.612312e-02
1.400000e+03  3.000000e+01  1.154382e-02  3.612312e-02
1.400000e+03  1.000000e+02  9.607212e-03  2.115103e-02
1.400000e+03  1.000000e+02  9.607212e-03  2.115103e-02
1.500000e+03  2.000000e-01  0.000000e+00  0.000000e+00
1.500000e+03  2.000000e-01  0.000000e+00  0.000000e+00
1.500000e+03  1.000000e+00  1.162076e-03  1.653994e-03
1.500000e+03  1.000000e+00  1.162076e-03  1.653994e-03
1.500000e+03  4.000000e+00  8.232209e-03  2.137353e-02
1.500000e+03  4.000000e+00  8.232209e-03  2.137353e-02
1.500000e+03  1.000000e+01  1.114747e-02  3.641305e-02
1.500000e+03  1.000000e+01  1.114747e-02  3.641305e-02
1.500000e+03  3.000000e+01  1.048789e-02  3.607571e-02
1.500000e+03  3.000000e+01  1.048789e-02  3.607571e-02
1.500000e+03  1.000000e+02  8.982423e-03  2.355872e-02
1.500000e+03  1.000000e+02  8.982423e-03  2.355872e-02
1.600000e+03  2.000000e-01  0.000000e+00  0.000000e+00
1.600000e+03  2.000000e-01  0.000000e+00  0.000000e+00
1.600000e+03  1.000000e+00  1.200749e-03  1.778306e-03
1.600000e+03  1.000000e+00  1.200749e-03  1.778306e-03
1.600000e+03  4.000000e+00  8.326142e-03  2.248363e-02
1.600000e+03  4.000000e+00  8.326142e-03  2.248363e-02
1.600000e+03  1.000000e+01  1.199735e-02  4.004357e-02
1.600000e+03  1.000000e+01  1.199735e-02  4.004357e-02
1.600000e+03  3.000000e+01  1.095278e-02  3.884688e-02
1.600000e+03  3.000000e+01  1.095278e-02  3.884688e-02
1.600000e+03  1.000000e+02  9.385925e-03  2.406062e-02
1.600000e+03  1.000000e+02  9.385925e-03  2.406062e-02
