#Exclusion curve for the SModelS implementation of ATLAS-SUSY-2016-32 (EM) with kfactor = 1.25
tau_ns,mLLP_GeV
1.510725030444928407e+01,6.085858585858585457e+02
1.479007440002969176e+01,6.002549015229599263e+02
1.452655669924551773e+01,5.933333333333332575e+02
1.438422582587979193e+01,5.797228331461751623e+02
1.436705446124011232e+01,5.780808080808080831e+02
1.428459653801387041e+01,5.701957052007068114e+02
1.422287737458615986e+01,5.639113991747892669e+02
1.421223991763776517e+01,5.628282828282829087e+02
1.419717208832603106e+01,5.612940616029395642e+02
1.406244245474154297e+01,5.475757575757575069e+02
1.401618020824284727e+01,5.428652900597038524e+02
1.389671595839502416e+01,5.323232323232323324e+02
1.341546267092533284e+01,5.288797413256121445e+02
1.296232810115570544e+01,5.255380002743097521e+02
1.274679783701622604e+01,5.170707070707070443e+02
1.259921049894873413e+01,5.153753181749759733e+02
1.214642828628972460e+01,5.108270261691743030e+02
1.183262248128418825e+01,5.065148339332995988e+02
1.166055642232047163e+01,5.054635152703066865e+02
1.151163438321934862e+01,5.018181818181818130e+02
1.141677689661701223e+01,4.953756207726321463e+02
1.128706278823343290e+01,4.865656565656565817e+02
1.120264973340893988e+01,4.732192665478497702e+02
1.119059383680644970e+01,4.713131313131312936e+02
1.111267684560667135e+01,4.589938217498373092e+02
1.109525366328309204e+01,4.560606060606060623e+02
1.101741841333143590e+01,4.429569392279139493e+02
1.100465428140149626e+01,4.408080808080807742e+02
1.098794022654978519e+01,4.379942476626073926e+02
1.091405489951990226e+01,4.255555555555555429e+02
1.085763040706352278e+01,4.160564179435946244e+02
1.082345551763830827e+01,4.103030303030303116e+02
1.054161553079909019e+01,4.079326183212712067e+02
1.043653567670318694e+01,4.031862618752522849e+02
1.019400005844192059e+01,3.950505050505050804e+02
1.011276690102785736e+01,3.875747928477860000e+02
1.002826189849113092e+01,3.797979797979797922e+02
9.884064654541862893e+00,3.665278185669524191e+02
9.862523738540343032e+00,3.645454545454545610e+02
9.826652973736463181e+00,3.639420990696926310e+02
9.801533729846536147e+00,3.581898674038703803e+02
9.208752934562056680e+00,3.493846187414486053e+02
9.205167924809616764e+00,3.493444222285837100e+02
9.202737724505853478e+00,3.492929292929292728e+02
8.781875960025029570e+00,3.455678041337452555e+02
8.645087479107260720e+00,3.422879237822630785e+02
8.322050257770138515e+00,3.340404040404040416e+02
8.183687596452660529e+00,3.321671095819250468e+02
8.119084641572449357e+00,3.312924490613328885e+02
7.952131978290133851e+00,3.288856334691805614e+02
7.625085989740022718e+00,3.241708875698460588e+02
7.274404130700995452e+00,3.187878787878787534e+02
7.161144256733483537e+00,3.170493260783592859e+02
6.897972771260464597e+00,3.127478952507954659e+02
6.725430655437813598e+00,3.099277645868724562e+02
6.608518903093930419e+00,3.078930916680130849e+02
6.358124455601801728e+00,3.035353535353535221e+02
6.316227669701320657e+00,3.006855582471940806e+02
