# Efficiencies for chargino-chargino (without the mass window cut)
  mC1 (GeV)     tau (ns)     eff(SR-Low)     eff(SR-High)
7.000000e+02  1.000000e+00  2.457641e-03  2.591720e-03
7.000000e+02  1.000000e+00  2.457641e-03  2.591720e-03
7.000000e+02  4.000000e+00  1.433896e-02  2.307269e-02
7.000000e+02  4.000000e+00  1.433896e-02  2.307269e-02
7.000000e+02  1.000000e+01  1.924120e-02  3.574963e-02
7.000000e+02  1.000000e+01  1.924120e-02  3.574963e-02
7.000000e+02  3.000000e+01  2.013041e-02  3.442281e-02
7.000000e+02  3.000000e+01  2.013041e-02  3.442281e-02
7.000000e+02  1.000000e+02  1.839856e-02  2.417138e-02
7.000000e+02  1.000000e+02  1.839856e-02  2.417138e-02
8.000000e+02  2.000000e-01  2.145366e-06  2.038708e-07
8.000000e+02  2.000000e-01  2.145366e-06  2.038708e-07
8.000000e+02  1.000000e+00  2.943182e-03  2.833706e-03
8.000000e+02  1.000000e+00  2.943182e-03  2.833706e-03
8.000000e+02  4.000000e+00  1.607380e-02  2.454531e-02
8.000000e+02  4.000000e+00  1.607380e-02  2.454531e-02
8.000000e+02  1.000000e+01  2.162750e-02  3.953374e-02
8.000000e+02  1.000000e+01  2.162750e-02  3.953374e-02
8.000000e+02  3.000000e+01  2.278805e-02  4.088223e-02
8.000000e+02  3.000000e+01  2.278805e-02  4.088223e-02
8.000000e+02  1.000000e+02  2.116234e-02  2.968554e-02
8.000000e+02  1.000000e+02  2.116234e-02  2.968554e-02
9.000000e+02  2.000000e-01  2.988004e-06  3.239559e-07
9.000000e+02  2.000000e-01  2.988004e-06  3.239559e-07
9.000000e+02  1.000000e+00  3.126000e-03  3.315745e-03
9.000000e+02  1.000000e+00  3.126000e-03  3.315745e-03
9.000000e+02  4.000000e+00  1.687580e-02  2.677512e-02
9.000000e+02  4.000000e+00  1.687580e-02  2.677512e-02
9.000000e+02  1.000000e+01  2.257773e-02  4.403424e-02
9.000000e+02  1.000000e+01  2.257773e-02  4.403424e-02
9.000000e+02  3.000000e+01  2.365583e-02  4.896953e-02
9.000000e+02  3.000000e+01  2.365583e-02  4.896953e-02
9.000000e+02  1.000000e+02  2.233336e-02  3.510281e-02
9.000000e+02  1.000000e+02  2.233336e-02  3.510281e-02
1.000000e+03  2.000000e-01  8.615356e-06  9.504905e-07
1.000000e+03  2.000000e-01  8.615356e-06  9.504905e-07
1.000000e+03  1.000000e+00  3.229898e-03  3.425009e-03
1.000000e+03  1.000000e+00  3.229898e-03  3.425009e-03
1.000000e+03  4.000000e+00  1.724546e-02  3.098186e-02
1.000000e+03  4.000000e+00  1.724546e-02  3.098186e-02
1.000000e+03  1.000000e+01  2.357059e-02  4.998184e-02
1.000000e+03  1.000000e+01  2.357059e-02  4.998184e-02
1.000000e+03  3.000000e+01  2.483365e-02  5.327465e-02
1.000000e+03  3.000000e+01  2.483365e-02  5.327465e-02
1.000000e+03  1.000000e+02  2.293169e-02  3.840296e-02
1.000000e+03  1.000000e+02  2.293169e-02  3.840296e-02
1.100000e+03  2.000000e-01  0.000000e+00  0.000000e+00
1.100000e+03  2.000000e-01  0.000000e+00  0.000000e+00
1.100000e+03  1.000000e+00  3.656326e-03  3.859565e-03
1.100000e+03  1.000000e+00  3.656326e-03  3.859565e-03
1.100000e+03  4.000000e+00  1.811350e-02  3.440725e-02
1.100000e+03  4.000000e+00  1.811350e-02  3.440725e-02
1.100000e+03  1.000000e+01  2.555077e-02  5.612565e-02
1.100000e+03  1.000000e+01  2.555077e-02  5.612565e-02
1.100000e+03  3.000000e+01  2.612439e-02  6.077394e-02
1.100000e+03  3.000000e+01  2.612439e-02  6.077394e-02
1.100000e+03  1.000000e+02  2.345904e-02  4.486096e-02
1.100000e+03  1.000000e+02  2.345904e-02  4.486096e-02
1.200000e+03  2.000000e-01  2.199192e-06  3.172406e-07
1.200000e+03  2.000000e-01  2.199192e-06  3.172406e-07
1.200000e+03  1.000000e+00  3.045268e-03  3.312662e-03
1.200000e+03  1.000000e+00  3.045268e-03  3.312662e-03
1.200000e+03  4.000000e+00  1.717882e-02  3.498324e-02
1.200000e+03  4.000000e+00  1.717882e-02  3.498324e-02
1.200000e+03  1.000000e+01  2.494839e-02  6.003758e-02
1.200000e+03  1.000000e+01  2.494839e-02  6.003758e-02
1.200000e+03  3.000000e+01  2.572030e-02  6.629360e-02
1.200000e+03  3.000000e+01  2.572030e-02  6.629360e-02
1.200000e+03  1.000000e+02  2.370728e-02  4.799475e-02
1.200000e+03  1.000000e+02  2.370728e-02  4.799475e-02
1.300000e+03  2.000000e-01  9.522885e-07  1.628302e-07
1.300000e+03  2.000000e-01  9.522885e-07  1.628302e-07
1.300000e+03  1.000000e+00  3.107334e-03  3.345154e-03
1.300000e+03  1.000000e+00  3.107334e-03  3.345154e-03
1.300000e+03  4.000000e+00  1.775041e-02  3.926039e-02
1.300000e+03  4.000000e+00  1.775041e-02  3.926039e-02
1.300000e+03  1.000000e+01  2.527461e-02  6.552676e-02
1.300000e+03  1.000000e+01  2.527461e-02  6.552676e-02
1.300000e+03  3.000000e+01  2.714174e-02  7.104214e-02
1.300000e+03  3.000000e+01  2.714174e-02  7.104214e-02
1.300000e+03  1.000000e+02  2.381733e-02  5.409120e-02
1.300000e+03  1.000000e+02  2.381733e-02  5.409120e-02
1.400000e+03  2.000000e-01  3.063963e-08  3.178613e-09
1.400000e+03  2.000000e-01  3.063963e-08  3.178613e-09
1.400000e+03  1.000000e+00  2.530967e-03  3.432882e-03
1.400000e+03  1.000000e+00  2.530967e-03  3.432882e-03
1.400000e+03  4.000000e+00  1.818607e-02  4.232886e-02
1.400000e+03  4.000000e+00  1.818607e-02  4.232886e-02
1.400000e+03  1.000000e+01  2.514152e-02  6.919777e-02
1.400000e+03  1.000000e+01  2.514152e-02  6.919777e-02
1.400000e+03  3.000000e+01  2.571732e-02  7.434429e-02
1.400000e+03  3.000000e+01  2.571732e-02  7.434429e-02
1.400000e+03  1.000000e+02  2.393387e-02  5.579643e-02
1.400000e+03  1.000000e+02  2.393387e-02  5.579643e-02
1.500000e+03  2.000000e-01  5.465417e-09  1.015441e-09
1.500000e+03  2.000000e-01  5.465417e-09  1.015441e-09
1.500000e+03  1.000000e+00  3.328982e-03  4.358632e-03
1.500000e+03  1.000000e+00  3.328982e-03  4.358632e-03
1.500000e+03  4.000000e+00  1.834492e-02  4.322602e-02
1.500000e+03  4.000000e+00  1.834492e-02  4.322602e-02
1.500000e+03  1.000000e+01  2.580468e-02  7.099460e-02
1.500000e+03  1.000000e+01  2.580468e-02  7.099460e-02
1.500000e+03  3.000000e+01  2.590618e-02  7.617076e-02
1.500000e+03  3.000000e+01  2.590618e-02  7.617076e-02
1.500000e+03  1.000000e+02  2.330287e-02  5.566910e-02
1.500000e+03  1.000000e+02  2.330287e-02  5.566910e-02
1.600000e+03  2.000000e-01  0.000000e+00  0.000000e+00
1.600000e+03  2.000000e-01  0.000000e+00  0.000000e+00
1.600000e+03  1.000000e+00  2.762613e-03  4.046789e-03
1.600000e+03  1.000000e+00  2.762613e-03  4.046789e-03
1.600000e+03  4.000000e+00  1.642027e-02  4.168970e-02
1.600000e+03  4.000000e+00  1.642027e-02  4.168970e-02
1.600000e+03  1.000000e+01  2.266733e-02  7.259272e-02
1.600000e+03  1.000000e+01  2.266733e-02  7.259272e-02
1.600000e+03  3.000000e+01  2.391470e-02  8.230584e-02
1.600000e+03  3.000000e+01  2.391470e-02  8.230584e-02
1.600000e+03  1.000000e+02  2.135351e-02  5.945446e-02
1.600000e+03  1.000000e+02  2.135351e-02  5.945446e-02
