#: table_doi: 10.17182/hepdata.137762.v1/t26
#: name: excl_strong_mgluino_2000_GeV_obs_up
#: description: Observed (+1 sigma) exclusion limits at 95% CL on the lifetime and mass of the neutralino in strong gluino pair production models and m(gluino)=2.0 TeV
#: data_file: excl_strong_mgluino_2000_gev_obs_up.yaml
#: keyword observables: CLS
#: keyword reactions: P P --> GLUINO GLUINO X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],139
#: Energy [TeV],13
Neutralino Lifetime [ns],Neutralino Mass [GeV]
29.473,1984.8
29.524,1964.3
29.595,1943.9
29.69,1923.4
29.782,1903.0
29.866,1882.5
29.941,1862.1
30.015,1841.6
30.092,1821.2
30.177,1800.7
30.271,1780.3
30.374,1759.8
30.487,1739.4
30.608,1718.9
30.737,1698.5
30.87,1678.0
31.005,1657.6
31.141,1637.1
31.278,1616.7
31.362,1604.4
31.42,1596.2
31.569,1575.8
31.724,1555.3
31.884,1534.9
32.045,1514.4
32.204,1494.0
32.359,1473.5
32.508,1453.1
32.65,1432.6
32.784,1412.2
32.908,1391.7
33.023,1371.3
33.123,1350.8
33.199,1330.4
33.235,1309.9
33.202,1289.5
33.068,1269.0
32.81,1248.6
32.421,1228.1
31.917,1207.7
31.47,1188.3
31.333,1187.2
30.716,1166.8
30.084,1146.3
29.455,1125.9
28.834,1105.4
28.226,1085.0
27.758,1068.9
27.635,1064.5
27.074,1044.1
26.526,1023.6
25.992,1003.2
25.469,982.73
24.958,962.27
24.569,946.34
24.463,941.82
23.995,921.38
23.534,900.92
23.077,880.48
22.621,860.02
22.164,839.58
21.746,820.86
21.709,819.12
21.27,798.67
20.829,778.23
20.386,757.77
19.939,737.33
19.488,716.88
19.247,706.13
19.034,696.42
18.573,675.98
18.094,655.52
17.594,635.08
17.07,614.62
17.035,613.34
16.504,594.17
15.903,573.73
15.265,553.27
15.078,547.6
14.582,532.83
13.861,512.38
13.345,498.54
13.113,491.92
12.355,471.48
11.812,457.64
11.585,451.02
10.843,430.57
10.455,420.27
10.126,410.12
9.4507,389.68
9.2534,383.71
8.8333,369.23
8.2529,348.78
8.1901,346.51
7.7305,328.32
7.249,308.63
7.2316,307.88
6.76,287.43
6.4161,272.82
6.2828,266.98
5.7787,246.53
5.6788,242.99
5.2166,226.07
5.0263,220.09
4.5801,205.62
4.4487,201.97
3.9376,187.3
3.8663,185.17
3.4851,175.29
3.1059,164.72
3.0847,164.2
2.7302,154.89
2.4165,145.85
2.365,144.27
2.1388,138.05
1.8931,130.74
1.6786,123.82
1.6755,123.74
1.483,118.19
1.3126,113.13
1.1618,108.67
1.0283,104.9
0.96845,103.38
0.91013,102.09
0.80555,99.988
0.71299,98.112
0.63106,96.245
0.55855,94.205
0.49437,91.866
0.43756,89.151
0.38729,86.027
0.34788,82.925
0.34278,82.604
0.3034,79.78
0.26853,76.834
0.23768,73.827
0.21037,70.828
0.1862,67.919
0.1648,65.184
0.14586,62.709
0.14396,62.475
0.1291,61.014
0.11427,59.678
0.10114,58.665
0.089517,57.964
0.079231,57.53
0.070127,57.293
0.062069,57.18
0.054937,57.135
0.048625,57.12
0.043037,57.116
0.038092,57.115
0.033715,57.115
0.029841,57.115
0.026412,57.115
0.023377,57.115
0.020691,57.115
0.018314,57.115
0.016209,57.115
0.014347,57.115
0.012698,57.115
0.011239,57.115
0.0099477,57.114
0.0088046,57.111
0.0077929,57.104
0.0068975,57.086
0.0061049,57.049
0.0054034,56.983
0.0047826,56.88
0.004233,56.742
0.0037466,56.593
0.0033161,56.499
0.0029351,56.593
0.0025978,57.089
0.0022993,58.283
0.0020351,60.513
0.0019022,62.475
0.0018013,64.675
0.0015943,71.863
0.0014111,82.063
0.0013997,82.925
0.0012612,103.38
0.001249,108.4
0.0012178,123.82
0.001215,144.27
0.0012337,164.72
0.0012406,174.1
0.0012688,185.17
0.0013198,205.62
0.0013864,226.07
0.0014019,232.37
0.0014705,246.53
0.0015648,266.98
0.0015841,273.18
0.001667,287.43
0.0017671,307.88
0.0017899,315.35
0.0018692,328.32
0.0019659,348.78
0.0020225,365.33
0.0020546,369.23
0.0021443,389.68
0.0022203,410.12
0.0022859,430.57
0.0022854,435.05
0.0023538,451.02
0.0024199,471.48
0.0024845,491.92
0.0025492,512.38
0.0025824,527.33
0.0026179,532.83
0.0026964,553.27
0.0027753,573.73
0.0028547,594.17
0.002935,614.62
0.002918,614.64
0.00303,635.08
0.0031251,655.52
0.0032205,675.98
0.0032972,696.25
0.003317,696.42
0.0034303,716.88
0.0035429,737.33
0.0036543,757.77
