#: table_doi: 10.17182/hepdata.137762.v1/t89
#: name: vertex_efficiency_R_111_120_mm
#: description: Reinterpretation Material: Vertex-level Efficiency for R [111, 120] mm
#: data_file: vertex_efficiency_r_111_120_mm.yaml
#: keyword observables: EFF
#: keyword reactions: P P --> GLUINO GLUINO X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],,,,,139
#: Energy [TeV],,,,,13
m_DV [GeV],m_DV [GeV] LOW,m_DV [GeV] HIGH,n_tracks,n_tracks LOW,n_tracks HIGH,Efficiency,stat +,stat -
12.5,10.0,15.0,5.5,5.0,6.0,0.0,0,0
12.5,10.0,15.0,6.5,6.0,7.0,0.0,0,0
12.5,10.0,15.0,8.5,7.0,10.0,0.023256,0.013582,-0.013582
12.5,10.0,15.0,12.5,10.0,15.0,0.011338,0.0050991,-0.0050991
12.5,10.0,15.0,17.5,15.0,20.0,0.0,0,0
12.5,10.0,15.0,25.0,20.0,30.0,0.0,0,0
12.5,10.0,15.0,40.0,30.0,50.0,0.0,0,0
12.5,10.0,15.0,125.0,50.0,200.0,0.0,0,0
17.5,15.0,20.0,5.5,5.0,6.0,0.0,0,0
17.5,15.0,20.0,6.5,6.0,7.0,0.0,0,0
17.5,15.0,20.0,8.5,7.0,10.0,0.0096154,0.0096615,-0.0096615
17.5,15.0,20.0,12.5,10.0,15.0,0.045526,0.0086442,-0.0086442
17.5,15.0,20.0,17.5,15.0,20.0,0.026829,0.0081971,-0.0081971
17.5,15.0,20.0,25.0,20.0,30.0,0.036145,0.021242,-0.021242
17.5,15.0,20.0,40.0,30.0,50.0,0.0,0,0
17.5,15.0,20.0,125.0,50.0,200.0,0.0,0,0
25.0,20.0,30.0,5.5,5.0,6.0,0.0,0,0
25.0,20.0,30.0,6.5,6.0,7.0,0.090909,0.094951,-0.094951
25.0,20.0,30.0,8.5,7.0,10.0,0.092199,0.026724,-0.026724
25.0,20.0,30.0,12.5,10.0,15.0,0.10293,0.0085999,-0.0085999
25.0,20.0,30.0,17.5,15.0,20.0,0.0913,0.007315,-0.007315
25.0,20.0,30.0,25.0,20.0,30.0,0.064182,0.0084087,-0.0084087
25.0,20.0,30.0,40.0,30.0,50.0,0.0,0,0
25.0,20.0,30.0,125.0,50.0,200.0,0.0,0,0
40.0,30.0,50.0,5.5,5.0,6.0,0.0,0,0
40.0,30.0,50.0,6.5,6.0,7.0,0.0,0,0
40.0,30.0,50.0,8.5,7.0,10.0,0.070423,0.032584,-0.032584
40.0,30.0,50.0,12.5,10.0,15.0,0.1275,0.011695,-0.011695
40.0,30.0,50.0,17.5,15.0,20.0,0.13761,0.0089992,-0.0089992
40.0,30.0,50.0,25.0,20.0,30.0,0.10293,0.0084156,-0.0084156
40.0,30.0,50.0,40.0,30.0,50.0,0.048544,0.02223,-0.02223
40.0,30.0,50.0,125.0,50.0,200.0,0.0,0,0
75.0,50.0,100.0,5.5,5.0,6.0,0.0,0,0
75.0,50.0,100.0,6.5,6.0,7.0,0.0,0,0
75.0,50.0,100.0,8.5,7.0,10.0,0.0,0,0
75.0,50.0,100.0,12.5,10.0,15.0,0.12891,0.023842,-0.023842
75.0,50.0,100.0,17.5,15.0,20.0,0.18984,0.017377,-0.017377
75.0,50.0,100.0,25.0,20.0,30.0,0.26644,0.01395,-0.01395
75.0,50.0,100.0,40.0,30.0,50.0,0.26638,0.022159,-0.022159
75.0,50.0,100.0,125.0,50.0,200.0,0.16667,0.12729,-0.12729
150.0,100.0,200.0,5.5,5.0,6.0,0.0,0,0
150.0,100.0,200.0,6.5,6.0,7.0,0.0,0,0
150.0,100.0,200.0,8.5,7.0,10.0,0.0,0,0
150.0,100.0,200.0,12.5,10.0,15.0,0.16017,0.028363,-0.028363
150.0,100.0,200.0,17.5,15.0,20.0,0.22099,0.015763,-0.015763
150.0,100.0,200.0,25.0,20.0,30.0,0.27028,0.0087463,-0.0087463
150.0,100.0,200.0,40.0,30.0,50.0,0.32418,0.010805,-0.010805
150.0,100.0,200.0,125.0,50.0,200.0,0.30328,0.056919,-0.056919
350.0,200.0,500.0,5.5,5.0,6.0,0.0,0,0
350.0,200.0,500.0,6.5,6.0,7.0,0.0,0,0
350.0,200.0,500.0,8.5,7.0,10.0,0.0,0,0
350.0,200.0,500.0,12.5,10.0,15.0,0.034483,0.0248,-0.0248
350.0,200.0,500.0,17.5,15.0,20.0,0.10067,0.015744,-0.015744
350.0,200.0,500.0,25.0,20.0,30.0,0.23169,0.0085948,-0.0085948
350.0,200.0,500.0,40.0,30.0,50.0,0.3163,0.0066849,-0.0066849
