#: table_doi: 10.17182/hepdata.78697.v2/t16
#: name: Table 16
#: description: Two-dimensional distributions of $x$-$y$ positions of vertices observed in the data passing the vertex pre-selection and satisfying all signal region event-level requirements.
#: data_file: data46.yaml
#: data_license:   
#: keyword reactions: 
#: keyword observables: N
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: SQRT(S) [GeV],13000
'DV x [mm]','DV y [mm]','Entries'
-194.0,-186.0,1.0
-190.0,-186.0,1.0
-186.0,-186.0,2.0
-174.0,-186.0,1.0
-170.0,-186.0,4.0
-166.0,-186.0,3.0
-162.0,-186.0,1.0
-158.0,-186.0,1.0
-154.0,-186.0,1.0
-150.0,-186.0,2.0
-146.0,-186.0,3.0
-142.0,-186.0,2.0
-138.0,-186.0,1.0
-126.0,-186.0,3.0
-122.0,-186.0,1.0
-118.0,-186.0,1.0
-114.0,-186.0,4.0
-110.0,-186.0,3.0
-106.0,-186.0,2.0
-102.0,-186.0,2.0
-94.0,-186.0,4.0
-90.0,-186.0,2.0
-34.0,-186.0,1.0
-30.0,-186.0,2.0
-26.0,-186.0,4.0
-22.0,-186.0,1.0
-18.0,-186.0,2.0
-14.0,-186.0,2.0
-10.0,-186.0,1.0
-6.0,-186.0,3.0
2.0,-186.0,4.0
10.0,-186.0,2.0
14.0,-186.0,3.0
18.0,-186.0,4.0
26.0,-186.0,2.0
30.0,-186.0,2.0
82.0,-186.0,1.0
86.0,-186.0,4.0
90.0,-186.0,2.0
94.0,-186.0,3.0
98.0,-186.0,3.0
110.0,-186.0,3.0
114.0,-186.0,3.0
126.0,-186.0,1.0
138.0,-186.0,4.0
142.0,-186.0,4.0
146.0,-186.0,1.0
154.0,-186.0,1.0
158.0,-186.0,1.0
162.0,-186.0,1.0
166.0,-186.0,1.0
174.0,-186.0,2.0
186.0,-186.0,2.0
190.0,-186.0,1.0
194.0,-186.0,4.0
198.0,-186.0,2.0
202.0,-186.0,1.0
-210.0,-182.0,1.0
-202.0,-182.0,2.0
-194.0,-182.0,1.0
-190.0,-182.0,1.0
-178.0,-182.0,1.0
-174.0,-182.0,1.0
-170.0,-182.0,1.0
-166.0,-182.0,4.0
-162.0,-182.0,1.0
-154.0,-182.0,1.0
-150.0,-182.0,2.0
-134.0,-182.0,2.0
-130.0,-182.0,3.0
-126.0,-182.0,3.0
-122.0,-182.0,2.0
-118.0,-182.0,3.0
-114.0,-182.0,1.0
-106.0,-182.0,3.0
-102.0,-182.0,3.0
-98.0,-182.0,1.0
-94.0,-182.0,2.0
-90.0,-182.0,1.0
-42.0,-182.0,2.0
-34.0,-182.0,4.0
-26.0,-182.0,1.0
-22.0,-182.0,3.0
-18.0,-182.0,1.0
-14.0,-182.0,6.0
-10.0,-182.0,1.0
-6.0,-182.0,3.0
-2.0,-182.0,1.0
2.0,-182.0,3.0
6.0,-182.0,2.0
10.0,-182.0,2.0
18.0,-182.0,2.0
26.0,-182.0,3.0
30.0,-182.0,1.0
34.0,-182.0,5.0
38.0,-182.0,3.0
42.0,-182.0,2.0
90.0,-182.0,1.0
98.0,-182.0,1.0
102.0,-182.0,1.0
110.0,-182.0,3.0
118.0,-182.0,4.0
122.0,-182.0,1.0
126.0,-182.0,1.0
134.0,-182.0,1.0
142.0,-182.0,3.0
146.0,-182.0,1.0
150.0,-182.0,2.0
154.0,-182.0,4.0
158.0,-182.0,2.0
162.0,-182.0,2.0
166.0,-182.0,1.0
170.0,-182.0,1.0
174.0,-182.0,2.0
178.0,-182.0,1.0
194.0,-182.0,2.0
198.0,-182.0,1.0
206.0,-182.0,3.0
-210.0,-178.0,1.0
-198.0,-178.0,1.0
-194.0,-178.0,1.0
-186.0,-178.0,1.0
-178.0,-178.0,4.0
-170.0,-178.0,1.0
-166.0,-178.0,3.0
-150.0,-178.0,1.0
-134.0,-178.0,3.0
-126.0,-178.0,2.0
-122.0,-178.0,1.0
-118.0,-178.0,3.0
-114.0,-178.0,3.0
-110.0,-178.0,2.0
-106.0,-178.0,4.0
-50.0,-178.0,1.0
-38.0,-178.0,5.0
-34.0,-178.0,7.0
-30.0,-178.0,4.0
-26.0,-178.0,3.0
-22.0,-178.0,5.0
-18.0,-178.0,2.0
-14.0,-178.0,4.0
-10.0,-178.0,1.0
-6.0,-178.0,1.0
-2.0,-178.0,6.0
2.0,-178.0,2.0
6.0,-178.0,2.0
10.0,-178.0,3.0
14.0,-178.0,7.0
18.0,-178.0,3.0
26.0,-178.0,2.0
30.0,-178.0,1.0
34.0,-178.0,2.0
38.0,-178.0,1.0
42.0,-178.0,1.0
46.0,-178.0,1.0
50.0,-178.0,1.0
54.0,-178.0,2.0
102.0,-178.0,1.0
106.0,-178.0,1.0
110.0,-178.0,5.0
114.0,-178.0,2.0
118.0,-178.0,4.0
122.0,-178.0,3.0
126.0,-178.0,1.0
150.0,-178.0,1.0
154.0,-178.0,1.0
158.0,-178.0,3.0
162.0,-178.0,1.0
166.0,-178.0,1.0
170.0,-178.0,4.0
178.0,-178.0,1.0
182.0,-178.0,2.0
198.0,-178.0,2.0
202.0,-178.0,1.0
206.0,-178.0,2.0
210.0,-178.0,1.0
-214.0,-174.0,1.0
-202.0,-174.0,1.0
-182.0,-174.0,2.0
-174.0,-174.0,1.0
-170.0,-174.0,1.0
-166.0,-174.0,2.0
-154.0,-174.0,5.0
-142.0,-174.0,1.0
-138.0,-174.0,1.0
-134.0,-174.0,4.0
-130.0,-174.0,3.0
-126.0,-174.0,2.0
-122.0,-174.0,2.0
-118.0,-174.0,2.0
-58.0,-174.0,1.0
-54.0,-174.0,1.0
-46.0,-174.0,2.0
-42.0,-174.0,5.0
-38.0,-174.0,3.0
-34.0,-174.0,4.0
-30.0,-174.0,3.0
-26.0,-174.0,3.0
-22.0,-174.0,1.0
-18.0,-174.0,2.0
-14.0,-174.0,3.0
-6.0,-174.0,1.0
-2.0,-174.0,3.0
2.0,-174.0,4.0
6.0,-174.0,3.0
10.0,-174.0,1.0
14.0,-174.0,3.0
18.0,-174.0,2.0
22.0,-174.0,2.0
30.0,-174.0,4.0
34.0,-174.0,1.0
38.0,-174.0,4.0
42.0,-174.0,2.0
46.0,-174.0,2.0
54.0,-174.0,4.0
58.0,-174.0,3.0
62.0,-174.0,1.0
114.0,-174.0,3.0
118.0,-174.0,3.0
122.0,-174.0,2.0
150.0,-174.0,1.0
154.0,-174.0,1.0
162.0,-174.0,1.0
166.0,-174.0,1.0
170.0,-174.0,4.0
174.0,-174.0,1.0
178.0,-174.0,6.0
182.0,-174.0,2.0
186.0,-174.0,1.0
194.0,-174.0,1.0
198.0,-174.0,1.0
202.0,-174.0,2.0
214.0,-174.0,1.0
-218.0,-170.0,1.0
-214.0,-170.0,1.0
-210.0,-170.0,1.0
-202.0,-170.0,1.0
-186.0,-170.0,3.0
-182.0,-170.0,3.0
-178.0,-170.0,2.0
-174.0,-170.0,1.0
-170.0,-170.0,1.0
-166.0,-170.0,3.0
-158.0,-170.0,1.0
-150.0,-170.0,1.0
-146.0,-170.0,1.0
-134.0,-170.0,5.0
-130.0,-170.0,2.0
-122.0,-170.0,2.0
-70.0,-170.0,3.0
-66.0,-170.0,2.0
-62.0,-170.0,1.0
-58.0,-170.0,4.0
-54.0,-170.0,2.0
-50.0,-170.0,1.0
-46.0,-170.0,2.0
-42.0,-170.0,1.0
-38.0,-170.0,2.0
-34.0,-170.0,3.0
-30.0,-170.0,8.0
-26.0,-170.0,2.0
-22.0,-170.0,4.0
-18.0,-170.0,3.0
-14.0,-170.0,2.0
-10.0,-170.0,3.0
-6.0,-170.0,3.0
-2.0,-170.0,1.0
2.0,-170.0,3.0
6.0,-170.0,1.0
10.0,-170.0,1.0
18.0,-170.0,3.0
22.0,-170.0,1.0
26.0,-170.0,1.0
30.0,-170.0,1.0
38.0,-170.0,5.0
42.0,-170.0,2.0
46.0,-170.0,4.0
50.0,-170.0,3.0
54.0,-170.0,4.0
58.0,-170.0,6.0
62.0,-170.0,4.0
66.0,-170.0,5.0
70.0,-170.0,1.0
74.0,-170.0,1.0
118.0,-170.0,1.0
126.0,-170.0,1.0
130.0,-170.0,1.0
150.0,-170.0,1.0
158.0,-170.0,2.0
162.0,-170.0,1.0
166.0,-170.0,2.0
170.0,-170.0,1.0
174.0,-170.0,2.0
178.0,-170.0,4.0
186.0,-170.0,3.0
198.0,-170.0,3.0
206.0,-170.0,1.0
210.0,-170.0,2.0
218.0,-170.0,1.0
-222.0,-166.0,2.0
-218.0,-166.0,3.0
-210.0,-166.0,1.0
-206.0,-166.0,1.0
-190.0,-166.0,1.0
-186.0,-166.0,1.0
-182.0,-166.0,2.0
-178.0,-166.0,3.0
-174.0,-166.0,4.0
-170.0,-166.0,1.0
-166.0,-166.0,2.0
-162.0,-166.0,1.0
-138.0,-166.0,2.0
-134.0,-166.0,2.0
-130.0,-166.0,2.0
-82.0,-166.0,1.0
-78.0,-166.0,1.0
-70.0,-166.0,2.0
-66.0,-166.0,3.0
-58.0,-166.0,3.0
-54.0,-166.0,1.0
-50.0,-166.0,1.0
-46.0,-166.0,3.0
-42.0,-166.0,2.0
-38.0,-166.0,1.0
-34.0,-166.0,5.0
-30.0,-166.0,2.0
-26.0,-166.0,2.0
-22.0,-166.0,1.0
-14.0,-166.0,6.0
-10.0,-166.0,4.0
-6.0,-166.0,3.0
-2.0,-166.0,2.0
2.0,-166.0,2.0
6.0,-166.0,1.0
10.0,-166.0,3.0
14.0,-166.0,4.0
22.0,-166.0,3.0
26.0,-166.0,4.0
30.0,-166.0,3.0
34.0,-166.0,3.0
38.0,-166.0,3.0
42.0,-166.0,2.0
46.0,-166.0,2.0
50.0,-166.0,1.0
58.0,-166.0,3.0
62.0,-166.0,1.0
66.0,-166.0,2.0
70.0,-166.0,3.0
74.0,-166.0,3.0
78.0,-166.0,1.0
134.0,-166.0,1.0
138.0,-166.0,1.0
150.0,-166.0,1.0
162.0,-166.0,1.0
166.0,-166.0,1.0
170.0,-166.0,2.0
174.0,-166.0,2.0
178.0,-166.0,3.0
182.0,-166.0,1.0
186.0,-166.0,1.0
190.0,-166.0,2.0
206.0,-166.0,1.0
214.0,-166.0,1.0
222.0,-166.0,1.0
-222.0,-162.0,1.0
-218.0,-162.0,1.0
-210.0,-162.0,1.0
-194.0,-162.0,2.0
-186.0,-162.0,1.0
-182.0,-162.0,2.0
-174.0,-162.0,4.0
-170.0,-162.0,2.0
-166.0,-162.0,1.0
-90.0,-162.0,1.0
-82.0,-162.0,1.0
-78.0,-162.0,2.0
-74.0,-162.0,4.0
-70.0,-162.0,2.0
-66.0,-162.0,3.0
-62.0,-162.0,1.0
-46.0,-162.0,1.0
-42.0,-162.0,2.0
-38.0,-162.0,2.0
-34.0,-162.0,3.0
-30.0,-162.0,1.0
-26.0,-162.0,1.0
-22.0,-162.0,3.0
-18.0,-162.0,3.0
-14.0,-162.0,2.0
-10.0,-162.0,3.0
-6.0,-162.0,2.0
-2.0,-162.0,2.0
2.0,-162.0,7.0
6.0,-162.0,2.0
14.0,-162.0,2.0
18.0,-162.0,4.0
22.0,-162.0,4.0
26.0,-162.0,4.0
30.0,-162.0,4.0
34.0,-162.0,1.0
38.0,-162.0,4.0
42.0,-162.0,6.0
46.0,-162.0,5.0
50.0,-162.0,2.0
54.0,-162.0,3.0
58.0,-162.0,3.0
62.0,-162.0,3.0
66.0,-162.0,2.0
70.0,-162.0,2.0
78.0,-162.0,1.0
82.0,-162.0,2.0
86.0,-162.0,1.0
90.0,-162.0,1.0
170.0,-162.0,2.0
174.0,-162.0,3.0
178.0,-162.0,1.0
182.0,-162.0,1.0
186.0,-162.0,1.0
194.0,-162.0,3.0
202.0,-162.0,1.0
206.0,-162.0,2.0
210.0,-162.0,4.0
214.0,-162.0,1.0
218.0,-162.0,2.0
222.0,-162.0,1.0
-226.0,-158.0,2.0
-222.0,-158.0,1.0
-218.0,-158.0,3.0
-214.0,-158.0,1.0
-198.0,-158.0,1.0
-194.0,-158.0,4.0
-190.0,-158.0,3.0
-186.0,-158.0,2.0
-182.0,-158.0,1.0
-178.0,-158.0,1.0
-174.0,-158.0,1.0
-98.0,-158.0,1.0
-94.0,-158.0,3.0
-86.0,-158.0,1.0
-82.0,-158.0,2.0
-78.0,-158.0,3.0
-74.0,-158.0,4.0
-70.0,-158.0,2.0
-66.0,-158.0,4.0
-62.0,-158.0,2.0
-58.0,-158.0,5.0
-54.0,-158.0,1.0
-50.0,-158.0,2.0
-46.0,-158.0,3.0
-42.0,-158.0,4.0
-38.0,-158.0,2.0
-34.0,-158.0,1.0
-30.0,-158.0,5.0
-26.0,-158.0,2.0
-22.0,-158.0,2.0
-18.0,-158.0,3.0
-14.0,-158.0,2.0
-10.0,-158.0,1.0
-6.0,-158.0,6.0
-2.0,-158.0,5.0
2.0,-158.0,3.0
6.0,-158.0,1.0
10.0,-158.0,3.0
14.0,-158.0,3.0
18.0,-158.0,3.0
22.0,-158.0,5.0
26.0,-158.0,4.0
30.0,-158.0,3.0
34.0,-158.0,5.0
38.0,-158.0,2.0
42.0,-158.0,2.0
46.0,-158.0,2.0
50.0,-158.0,6.0
54.0,-158.0,6.0
62.0,-158.0,6.0
66.0,-158.0,3.0
74.0,-158.0,2.0
78.0,-158.0,5.0
82.0,-158.0,5.0
86.0,-158.0,5.0
94.0,-158.0,4.0
98.0,-158.0,2.0
102.0,-158.0,3.0
182.0,-158.0,1.0
186.0,-158.0,1.0
190.0,-158.0,2.0
194.0,-158.0,2.0
206.0,-158.0,1.0
210.0,-158.0,1.0
214.0,-158.0,2.0
218.0,-158.0,2.0
222.0,-158.0,1.0
226.0,-158.0,2.0
-226.0,-154.0,1.0
-222.0,-154.0,1.0
-218.0,-154.0,1.0
-214.0,-154.0,1.0
-202.0,-154.0,1.0
-198.0,-154.0,2.0
-194.0,-154.0,1.0
-190.0,-154.0,1.0
-186.0,-154.0,3.0
-182.0,-154.0,4.0
-178.0,-154.0,1.0
-166.0,-154.0,1.0
-110.0,-154.0,2.0
-102.0,-154.0,3.0
-98.0,-154.0,1.0
-94.0,-154.0,1.0
-90.0,-154.0,2.0
-86.0,-154.0,1.0
-82.0,-154.0,1.0
-74.0,-154.0,2.0
-70.0,-154.0,2.0
-66.0,-154.0,2.0
-62.0,-154.0,7.0
-58.0,-154.0,3.0
-54.0,-154.0,1.0
-50.0,-154.0,1.0
-46.0,-154.0,4.0
-42.0,-154.0,1.0
-38.0,-154.0,1.0
-34.0,-154.0,5.0
-30.0,-154.0,2.0
-26.0,-154.0,7.0
-22.0,-154.0,3.0
-18.0,-154.0,3.0
-14.0,-154.0,2.0
-10.0,-154.0,2.0
-6.0,-154.0,5.0
-2.0,-154.0,4.0
2.0,-154.0,3.0
6.0,-154.0,1.0
10.0,-154.0,2.0
14.0,-154.0,1.0
18.0,-154.0,4.0
22.0,-154.0,2.0
26.0,-154.0,6.0
30.0,-154.0,4.0
34.0,-154.0,3.0
38.0,-154.0,2.0
42.0,-154.0,2.0
46.0,-154.0,3.0
50.0,-154.0,4.0
54.0,-154.0,4.0
58.0,-154.0,1.0
62.0,-154.0,3.0
66.0,-154.0,3.0
70.0,-154.0,3.0
74.0,-154.0,4.0
78.0,-154.0,3.0
82.0,-154.0,4.0
86.0,-154.0,2.0
90.0,-154.0,2.0
94.0,-154.0,1.0
98.0,-154.0,3.0
102.0,-154.0,1.0
106.0,-154.0,2.0
166.0,-154.0,1.0
174.0,-154.0,3.0
178.0,-154.0,2.0
182.0,-154.0,2.0
186.0,-154.0,1.0
194.0,-154.0,2.0
198.0,-154.0,1.0
210.0,-154.0,2.0
214.0,-154.0,1.0
218.0,-154.0,1.0
226.0,-154.0,1.0
-230.0,-150.0,1.0
-226.0,-150.0,2.0
-222.0,-150.0,2.0
-218.0,-150.0,1.0
-214.0,-150.0,2.0
-206.0,-150.0,1.0
-202.0,-150.0,1.0
-190.0,-150.0,2.0
-186.0,-150.0,1.0
-178.0,-150.0,1.0
-170.0,-150.0,1.0
-114.0,-150.0,1.0
-110.0,-150.0,2.0
-106.0,-150.0,1.0
-102.0,-150.0,3.0
-98.0,-150.0,1.0
-94.0,-150.0,2.0
-90.0,-150.0,4.0
-86.0,-150.0,5.0
-82.0,-150.0,3.0
-78.0,-150.0,2.0
-74.0,-150.0,4.0
-70.0,-150.0,2.0
-66.0,-150.0,1.0
-62.0,-150.0,2.0
-58.0,-150.0,1.0
-54.0,-150.0,2.0
-50.0,-150.0,2.0
-46.0,-150.0,3.0
-42.0,-150.0,3.0
-34.0,-150.0,2.0
-30.0,-150.0,1.0
-26.0,-150.0,5.0
-22.0,-150.0,1.0
-18.0,-150.0,4.0
-14.0,-150.0,10.0
-10.0,-150.0,3.0
-6.0,-150.0,2.0
-2.0,-150.0,2.0
2.0,-150.0,4.0
6.0,-150.0,3.0
10.0,-150.0,3.0
14.0,-150.0,3.0
18.0,-150.0,1.0
22.0,-150.0,2.0
26.0,-150.0,3.0
30.0,-150.0,2.0
34.0,-150.0,8.0
42.0,-150.0,3.0
46.0,-150.0,4.0
50.0,-150.0,3.0
54.0,-150.0,2.0
58.0,-150.0,6.0
62.0,-150.0,1.0
66.0,-150.0,5.0
70.0,-150.0,1.0
78.0,-150.0,4.0
82.0,-150.0,5.0
86.0,-150.0,2.0
90.0,-150.0,1.0
94.0,-150.0,2.0
98.0,-150.0,1.0
102.0,-150.0,3.0
106.0,-150.0,4.0
110.0,-150.0,3.0
114.0,-150.0,2.0
118.0,-150.0,1.0
178.0,-150.0,2.0
182.0,-150.0,1.0
186.0,-150.0,2.0
190.0,-150.0,1.0
198.0,-150.0,1.0
202.0,-150.0,2.0
206.0,-150.0,3.0
214.0,-150.0,2.0
218.0,-150.0,1.0
222.0,-150.0,4.0
226.0,-150.0,1.0
-234.0,-146.0,1.0
-226.0,-146.0,3.0
-214.0,-146.0,1.0
-206.0,-146.0,3.0
-198.0,-146.0,2.0
-190.0,-146.0,1.0
-186.0,-146.0,1.0
-182.0,-146.0,2.0
-174.0,-146.0,2.0
-170.0,-146.0,2.0
-130.0,-146.0,1.0
-126.0,-146.0,1.0
-118.0,-146.0,5.0
-114.0,-146.0,4.0
-110.0,-146.0,3.0
-106.0,-146.0,3.0
-102.0,-146.0,1.0
-98.0,-146.0,3.0
-94.0,-146.0,3.0
-86.0,-146.0,2.0
-82.0,-146.0,1.0
-78.0,-146.0,1.0
-70.0,-146.0,1.0
-66.0,-146.0,1.0
-62.0,-146.0,3.0
-58.0,-146.0,2.0
-54.0,-146.0,2.0
-50.0,-146.0,2.0
-46.0,-146.0,4.0
-42.0,-146.0,3.0
-38.0,-146.0,3.0
-34.0,-146.0,4.0
-30.0,-146.0,2.0
-26.0,-146.0,5.0
-22.0,-146.0,2.0
-18.0,-146.0,6.0
-14.0,-146.0,2.0
-10.0,-146.0,3.0
2.0,-146.0,2.0
6.0,-146.0,2.0
10.0,-146.0,4.0
18.0,-146.0,3.0
22.0,-146.0,2.0
26.0,-146.0,1.0
30.0,-146.0,3.0
34.0,-146.0,1.0
38.0,-146.0,3.0
42.0,-146.0,2.0
46.0,-146.0,5.0
50.0,-146.0,4.0
58.0,-146.0,1.0
62.0,-146.0,3.0
66.0,-146.0,1.0
70.0,-146.0,5.0
74.0,-146.0,4.0
78.0,-146.0,1.0
82.0,-146.0,2.0
86.0,-146.0,1.0
90.0,-146.0,3.0
94.0,-146.0,2.0
98.0,-146.0,3.0
102.0,-146.0,5.0
106.0,-146.0,4.0
110.0,-146.0,2.0
114.0,-146.0,2.0
118.0,-146.0,3.0
134.0,-146.0,1.0
170.0,-146.0,2.0
178.0,-146.0,3.0
182.0,-146.0,1.0
186.0,-146.0,2.0
194.0,-146.0,1.0
198.0,-146.0,3.0
202.0,-146.0,2.0
206.0,-146.0,3.0
218.0,-146.0,1.0
222.0,-146.0,1.0
226.0,-146.0,1.0
230.0,-146.0,1.0
-234.0,-142.0,3.0
-210.0,-142.0,1.0
-206.0,-142.0,2.0
-202.0,-142.0,4.0
-198.0,-142.0,1.0
-190.0,-142.0,3.0
-186.0,-142.0,2.0
-182.0,-142.0,1.0
-174.0,-142.0,2.0
-170.0,-142.0,3.0
-166.0,-142.0,3.0
-162.0,-142.0,1.0
-138.0,-142.0,1.0
-134.0,-142.0,2.0
-130.0,-142.0,1.0
-126.0,-142.0,2.0
-122.0,-142.0,3.0
-118.0,-142.0,1.0
-114.0,-142.0,5.0
-110.0,-142.0,3.0
-106.0,-142.0,2.0
-102.0,-142.0,2.0
-98.0,-142.0,2.0
-94.0,-142.0,3.0
-90.0,-142.0,5.0
-86.0,-142.0,4.0
-82.0,-142.0,2.0
-74.0,-142.0,1.0
-70.0,-142.0,3.0
-66.0,-142.0,1.0
-62.0,-142.0,4.0
-58.0,-142.0,2.0
-54.0,-142.0,3.0
-50.0,-142.0,2.0
-46.0,-142.0,2.0
-42.0,-142.0,1.0
-38.0,-142.0,1.0
-34.0,-142.0,1.0
-30.0,-142.0,4.0
-6.0,-142.0,1.0
2.0,-142.0,1.0
14.0,-142.0,1.0
26.0,-142.0,1.0
38.0,-142.0,4.0
42.0,-142.0,5.0
46.0,-142.0,7.0
50.0,-142.0,3.0
54.0,-142.0,3.0
58.0,-142.0,4.0
62.0,-142.0,2.0
66.0,-142.0,5.0
70.0,-142.0,5.0
74.0,-142.0,1.0
78.0,-142.0,6.0
82.0,-142.0,3.0
86.0,-142.0,3.0
90.0,-142.0,2.0
94.0,-142.0,3.0
98.0,-142.0,1.0
102.0,-142.0,3.0
106.0,-142.0,3.0
110.0,-142.0,4.0
114.0,-142.0,2.0
118.0,-142.0,4.0
122.0,-142.0,2.0
126.0,-142.0,1.0
130.0,-142.0,3.0
134.0,-142.0,1.0
138.0,-142.0,2.0
142.0,-142.0,1.0
166.0,-142.0,1.0
170.0,-142.0,3.0
174.0,-142.0,2.0
186.0,-142.0,4.0
194.0,-142.0,2.0
198.0,-142.0,1.0
202.0,-142.0,5.0
206.0,-142.0,3.0
210.0,-142.0,1.0
218.0,-142.0,1.0
226.0,-142.0,1.0
230.0,-142.0,2.0
234.0,-142.0,1.0
238.0,-142.0,2.0
-234.0,-138.0,3.0
-214.0,-138.0,3.0
-206.0,-138.0,3.0
-202.0,-138.0,1.0
-198.0,-138.0,1.0
-194.0,-138.0,2.0
-190.0,-138.0,1.0
-178.0,-138.0,3.0
-174.0,-138.0,2.0
-170.0,-138.0,1.0
-166.0,-138.0,3.0
-142.0,-138.0,3.0
-138.0,-138.0,1.0
-134.0,-138.0,4.0
-130.0,-138.0,4.0
-126.0,-138.0,6.0
-122.0,-138.0,2.0
-118.0,-138.0,3.0
-114.0,-138.0,4.0
-110.0,-138.0,1.0
-106.0,-138.0,2.0
-102.0,-138.0,3.0
-98.0,-138.0,3.0
-94.0,-138.0,1.0
-90.0,-138.0,1.0
-86.0,-138.0,5.0
-82.0,-138.0,5.0
-78.0,-138.0,2.0
-74.0,-138.0,5.0
-70.0,-138.0,3.0
-66.0,-138.0,1.0
-62.0,-138.0,5.0
-58.0,-138.0,5.0
-54.0,-138.0,5.0
-50.0,-138.0,1.0
-26.0,-138.0,1.0
-22.0,-138.0,2.0
-18.0,-138.0,2.0
-14.0,-138.0,1.0
-10.0,-138.0,2.0
-6.0,-138.0,3.0
-2.0,-138.0,2.0
2.0,-138.0,1.0
6.0,-138.0,4.0
10.0,-138.0,1.0
14.0,-138.0,1.0
18.0,-138.0,1.0
22.0,-138.0,1.0
30.0,-138.0,1.0
42.0,-138.0,1.0
46.0,-138.0,4.0
50.0,-138.0,2.0
54.0,-138.0,7.0
58.0,-138.0,1.0
66.0,-138.0,1.0
74.0,-138.0,1.0
78.0,-138.0,2.0
82.0,-138.0,6.0
86.0,-138.0,2.0
90.0,-138.0,4.0
94.0,-138.0,1.0
98.0,-138.0,1.0
102.0,-138.0,1.0
106.0,-138.0,1.0
110.0,-138.0,5.0
114.0,-138.0,4.0
118.0,-138.0,2.0
122.0,-138.0,3.0
126.0,-138.0,1.0
130.0,-138.0,2.0
134.0,-138.0,1.0
138.0,-138.0,1.0
142.0,-138.0,1.0
162.0,-138.0,1.0
170.0,-138.0,4.0
174.0,-138.0,1.0
178.0,-138.0,4.0
186.0,-138.0,2.0
190.0,-138.0,1.0
194.0,-138.0,1.0
198.0,-138.0,1.0
202.0,-138.0,4.0
210.0,-138.0,1.0
214.0,-138.0,2.0
222.0,-138.0,1.0
226.0,-138.0,1.0
230.0,-138.0,1.0
238.0,-138.0,1.0
-242.0,-134.0,1.0
-234.0,-134.0,1.0
-218.0,-134.0,3.0
-214.0,-134.0,3.0
-206.0,-134.0,1.0
-202.0,-134.0,3.0
-198.0,-134.0,2.0
-194.0,-134.0,1.0
-190.0,-134.0,3.0
-174.0,-134.0,5.0
-170.0,-134.0,2.0
-142.0,-134.0,3.0
-138.0,-134.0,4.0
-134.0,-134.0,1.0
-130.0,-134.0,4.0
-126.0,-134.0,3.0
-122.0,-134.0,1.0
-118.0,-134.0,2.0
-114.0,-134.0,1.0
-110.0,-134.0,6.0
-106.0,-134.0,1.0
-102.0,-134.0,1.0
-98.0,-134.0,1.0
-94.0,-134.0,1.0
-90.0,-134.0,1.0
-86.0,-134.0,2.0
-82.0,-134.0,4.0
-78.0,-134.0,4.0
-74.0,-134.0,2.0
-70.0,-134.0,3.0
-66.0,-134.0,2.0
-62.0,-134.0,5.0
-58.0,-134.0,2.0
-54.0,-134.0,2.0
-46.0,-134.0,1.0
-42.0,-134.0,1.0
-34.0,-134.0,1.0
-30.0,-134.0,1.0
-26.0,-134.0,1.0
-22.0,-134.0,1.0
-18.0,-134.0,2.0
-14.0,-134.0,5.0
-10.0,-134.0,2.0
-6.0,-134.0,2.0
-2.0,-134.0,1.0
2.0,-134.0,1.0
6.0,-134.0,2.0
10.0,-134.0,4.0
14.0,-134.0,2.0
18.0,-134.0,1.0
26.0,-134.0,2.0
30.0,-134.0,2.0
34.0,-134.0,2.0
38.0,-134.0,1.0
42.0,-134.0,3.0
46.0,-134.0,4.0
54.0,-134.0,1.0
58.0,-134.0,4.0
62.0,-134.0,2.0
66.0,-134.0,7.0
70.0,-134.0,2.0
74.0,-134.0,4.0
78.0,-134.0,1.0
82.0,-134.0,5.0
86.0,-134.0,1.0
90.0,-134.0,2.0
94.0,-134.0,3.0
98.0,-134.0,1.0
102.0,-134.0,3.0
106.0,-134.0,3.0
110.0,-134.0,2.0
118.0,-134.0,1.0
122.0,-134.0,1.0
126.0,-134.0,4.0
130.0,-134.0,1.0
134.0,-134.0,2.0
138.0,-134.0,1.0
142.0,-134.0,1.0
170.0,-134.0,3.0
174.0,-134.0,4.0
182.0,-134.0,2.0
190.0,-134.0,3.0
194.0,-134.0,2.0
198.0,-134.0,2.0
202.0,-134.0,1.0
210.0,-134.0,1.0
214.0,-134.0,6.0
218.0,-134.0,1.0
226.0,-134.0,1.0
230.0,-134.0,3.0
234.0,-134.0,1.0
238.0,-134.0,1.0
-246.0,-130.0,1.0
-242.0,-130.0,1.0
-226.0,-130.0,1.0
-222.0,-130.0,1.0
-218.0,-130.0,3.0
-214.0,-130.0,2.0
-210.0,-130.0,1.0
-206.0,-130.0,2.0
-202.0,-130.0,2.0
-194.0,-130.0,1.0
-190.0,-130.0,1.0
-182.0,-130.0,1.0
-174.0,-130.0,7.0
-170.0,-130.0,2.0
-146.0,-130.0,3.0
-142.0,-130.0,1.0
-138.0,-130.0,1.0
-126.0,-130.0,3.0
-122.0,-130.0,6.0
-118.0,-130.0,3.0
-114.0,-130.0,3.0
-110.0,-130.0,3.0
-98.0,-130.0,3.0
-94.0,-130.0,2.0
-90.0,-130.0,1.0
-86.0,-130.0,3.0
-82.0,-130.0,2.0
-78.0,-130.0,6.0
-74.0,-130.0,2.0
