#: table_doi: 10.17182/hepdata.137762.v1/t7
#: name: yields_trackless_SR_expected_ewk
#: description: Two-dimensional distribution of the invariant mass $m_{DV}$ and the track multiplicity in the Trackless jet SR for expected signal events in the electroweak pair production model
#: data_file: yields_trackless_sr_expected_ewk.yaml
#: keyword observables: N
#: keyword reactions: P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],,,,,139
#: Energy [TeV],,,,,13
"$n_{tracks, DV}$","$n_{tracks, DV}$ LOW","$n_{tracks, DV}$ HIGH",$m_{DV}$ [GeV],$m_{DV}$ [GeV] LOW,$m_{DV}$ [GeV] HIGH,Expected Signal Events
6.5,6.0,7.0,45.057,39.881,50.233,2.3977
6.5,6.0,7.0,56.783500000000004,50.233,63.334,1.6699
6.5,6.0,7.0,71.62450000000001,63.334,79.915,1.7493
6.5,6.0,7.0,89.958,79.916,100.0,1.2838
7.5,7.0,8.0,3.5154,3.2088,3.822,0.12693
7.5,7.0,8.0,4.21,3.822,4.598,0.14736
7.5,7.0,8.0,5.08905,4.598,5.5801,0.10541
7.5,7.0,8.0,6.2016,5.5801,6.8231,0.16753
7.5,7.0,8.0,7.6096,6.8231,8.3961,0.18905
7.5,7.0,8.0,11.453,10.0,12.906,0.067899
7.5,7.0,8.0,14.500499999999999,12.906,16.095,0.15154
7.5,7.0,8.0,18.112499999999997,16.095,20.13,0.44465
7.5,7.0,8.0,22.6835,20.13,25.237,0.63948
7.5,7.0,8.0,28.469,25.237,31.701,1.1789
7.5,7.0,8.0,35.791,31.701,39.881,1.9665
7.5,7.0,8.0,45.057,39.881,50.233,1.5886
7.5,7.0,8.0,56.783500000000004,50.233,63.334,2.4275
7.5,7.0,8.0,71.62450000000001,63.334,79.915,2.5943
7.5,7.0,8.0,89.958,79.916,100.0,2.3862
8.5,8.0,9.0,3.5154,3.2088,3.822,0.07368
8.5,8.0,9.0,4.21,3.822,4.598,0.057684
8.5,8.0,9.0,5.08905,4.598,5.5801,0.057684
8.5,8.0,9.0,6.2016,5.5801,6.8231,0.20504
8.5,8.0,9.0,7.6096,6.8231,8.3961,0.22547
8.5,8.0,9.0,9.19805,8.3961,10.0,0.13136
8.5,8.0,9.0,11.453,10.0,12.906,0.18905
8.5,8.0,9.0,14.500499999999999,12.906,16.095,0.33063
8.5,8.0,9.0,18.112499999999997,16.095,20.13,0.4203
8.5,8.0,9.0,22.6835,20.13,25.237,0.72617
8.5,8.0,9.0,28.469,25.237,31.701,0.73589
8.5,8.0,9.0,35.791,31.701,39.881,1.2381
8.5,8.0,9.0,45.057,39.881,50.233,1.5749
8.5,8.0,9.0,56.783500000000004,50.233,63.334,2.6359
8.5,8.0,9.0,71.62450000000001,63.334,79.915,2.9639
8.5,8.0,9.0,89.958,79.916,100.0,2.6305
9.5,9.0,10.0,4.21,3.822,4.598,0.031733
9.5,9.0,10.0,6.2016,5.5801,6.8231,0.095198
9.5,9.0,10.0,7.6096,6.8231,8.3961,0.025952
9.5,9.0,10.0,9.19805,8.3961,10.0,0.22104
9.5,9.0,10.0,11.453,10.0,12.906,0.28562
9.5,9.0,10.0,14.500499999999999,12.906,16.095,0.35106
9.5,9.0,10.0,18.112499999999997,16.095,20.13,0.19348
9.5,9.0,10.0,22.6835,20.13,25.237,0.27712
9.5,9.0,10.0,28.469,25.237,31.701,0.60466
9.5,9.0,10.0,35.791,31.701,39.881,0.89915
9.5,9.0,10.0,45.057,39.881,50.233,1.732
9.5,9.0,10.0,56.783500000000004,50.233,63.334,2.0701
9.5,9.0,10.0,71.62450000000001,63.334,79.915,3.0024
9.5,9.0,10.0,89.958,79.916,100.0,4.3308
10.5,10.0,11.0,6.2016,5.5801,6.8231,0.12568
10.5,10.0,11.0,7.6096,6.8231,8.3961,0.13868
10.5,10.0,11.0,9.19805,8.3961,10.0,0.11563
10.5,10.0,11.0,11.453,10.0,12.906,0.18353
10.5,10.0,11.0,14.500499999999999,12.906,16.095,0.057684
10.5,10.0,11.0,18.112499999999997,16.095,20.13,0.21054
10.5,10.0,11.0,22.6835,20.13,25.237,0.23678
10.5,10.0,11.0,28.469,25.237,31.701,0.43469
10.5,10.0,11.0,35.791,31.701,39.881,1.1129
10.5,10.0,11.0,45.057,39.881,50.233,1.4236
10.5,10.0,11.0,56.783500000000004,50.233,63.334,2.6713
10.5,10.0,11.0,71.62450000000001,63.334,79.915,3.2363
10.5,10.0,11.0,89.958,79.916,100.0,4.2887
11.5,11.0,12.0,6.2016,5.5801,6.8231,0.031733
11.5,11.0,12.0,7.6096,6.8231,8.3961,0.07368
11.5,11.0,12.0,9.19805,8.3961,10.0,0.083895
11.5,11.0,12.0,11.453,10.0,12.906,0.041948
11.5,11.0,12.0,14.500499999999999,12.906,16.095,0.11563
11.5,11.0,12.0,18.112499999999997,16.095,20.13,0.067899
11.5,11.0,12.0,22.6835,20.13,25.237,0.33641
11.5,11.0,12.0,28.469,25.237,31.701,0.41314
11.5,11.0,12.0,35.791,31.701,39.881,0.58465
11.5,11.0,12.0,45.057,39.881,50.233,1.2715
11.5,11.0,12.0,56.783500000000004,50.233,63.334,1.9233
11.5,11.0,12.0,71.62450000000001,63.334,79.915,2.8636
11.5,11.0,12.0,89.958,79.916,100.0,4.1033
12.5,12.0,13.0,9.19805,8.3961,10.0,0.031733
12.5,12.0,13.0,11.453,10.0,12.906,0.067899
12.5,12.0,13.0,14.500499999999999,12.906,16.095,0.15179
12.5,12.0,13.0,18.112499999999997,16.095,20.13,0.063465
12.5,12.0,13.0,22.6835,20.13,25.237,0.12115
12.5,12.0,13.0,28.469,25.237,31.701,0.33506
12.5,12.0,13.0,35.791,31.701,39.881,0.49842
12.5,12.0,13.0,45.057,39.881,50.233,0.51807
12.5,12.0,13.0,56.783500000000004,50.233,63.334,1.479
12.5,12.0,13.0,71.62450000000001,63.334,79.915,2.5302
12.5,12.0,13.0,89.958,79.916,100.0,3.7772
13.5,13.0,14.0,18.112499999999997,16.095,20.13,0.15732
13.5,13.0,14.0,22.6835,20.13,25.237,0.13136
13.5,13.0,14.0,28.469,25.237,31.701,0.21526
13.5,13.0,14.0,35.791,31.701,39.881,0.41354
13.5,13.0,14.0,45.057,39.881,50.233,0.57025
13.5,13.0,14.0,56.783500000000004,50.233,63.334,0.91242
13.5,13.0,14.0,71.62450000000001,63.334,79.915,2.4968
13.5,13.0,14.0,89.958,79.916,100.0,3.6259
14.5,14.0,15.0,14.500499999999999,12.906,16.095,0.025952
14.5,14.0,15.0,18.112499999999997,16.095,20.13,0.041948
14.5,14.0,15.0,22.6835,20.13,25.237,0.083895
