  2.5000e+00  1.5600e+02  0.0000e+00
  7.5000e+00  8.8500e+02  5.0000e+00
  1.2500e+01  8.1300e+02  1.0000e+01
  1.7500e+01  7.1600e+02  1.5000e+01
  2.2500e+01  6.8200e+02  2.0000e+01
  2.7500e+01  6.5200e+02  2.5000e+01
  3.2500e+01  6.5700e+02  3.0000e+01
  3.7500e+01  5.7300e+02  3.5000e+01
  4.2500e+01  5.2500e+02  4.0000e+01
  4.7500e+01  4.9300e+02  4.5000e+01
  5.2500e+01  4.4700e+02  5.0000e+01
  5.7500e+01  4.2000e+02  5.5000e+01
  6.2500e+01  4.1400e+02  6.0000e+01
  6.7500e+01  3.7400e+02  6.5000e+01
  7.2500e+01  4.0200e+02  7.0000e+01
  7.7500e+01  3.2500e+02  7.5000e+01
  8.2500e+01  3.1500e+02  8.0000e+01
  8.7500e+01  2.7200e+02  8.5000e+01
  9.2500e+01  2.7400e+02  9.0000e+01
  9.7500e+01  2.5900e+02  9.5000e+01
  1.0250e+02  2.6300e+02  1.0000e+02
  1.0750e+02  2.3600e+02  1.0500e+02
  1.1250e+02  2.1500e+02  1.1000e+02
  1.1750e+02  2.3800e+02  1.1500e+02
  1.2250e+02  2.0500e+02  1.2000e+02
  1.2750e+02  1.9200e+02  1.2500e+02
  1.3250e+02  1.6900e+02  1.3000e+02
  1.3750e+02  1.6400e+02  1.3500e+02
  1.4250e+02  1.6800e+02  1.4000e+02
  1.4750e+02  1.5000e+02  1.4500e+02
  1.5250e+02  1.4900e+02  1.5000e+02
  1.5750e+02  1.4200e+02  1.5500e+02
  1.6250e+02  1.3600e+02  1.6000e+02
  1.6750e+02  1.2500e+02  1.6500e+02
  1.7250e+02  1.1200e+02  1.7000e+02
  1.7750e+02  1.1400e+02  1.7500e+02
  1.8250e+02  1.3100e+02  1.8000e+02
  1.8750e+02  1.1500e+02  1.8500e+02
  1.9250e+02  1.0400e+02  1.9000e+02
  1.9750e+02  8.6000e+01  1.9500e+02
  2.0250e+02  9.5000e+01  2.0000e+02
  2.0750e+02  8.5000e+01  2.0500e+02
  2.1250e+02  8.2000e+01  2.1000e+02
  2.1750e+02  9.6000e+01  2.1500e+02
  2.2250e+02  7.5000e+01  2.2000e+02
  2.2750e+02  8.4000e+01  2.2500e+02
  2.3250e+02  7.2000e+01  2.3000e+02
  2.3750e+02  7.3000e+01  2.3500e+02
  2.4250e+02  6.8000e+01  2.4000e+02
  2.4750e+02  6.7000e+01  2.4500e+02
  2.5250e+02  6.4000e+01  2.5000e+02
  2.5750e+02  4.9000e+01  2.5500e+02
  2.6250e+02  5.3000e+01  2.6000e+02
  2.6750e+02  6.5000e+01  2.6500e+02
  2.7250e+02  5.3000e+01  2.7000e+02
  2.7750e+02  4.3000e+01  2.7500e+02
  2.8250e+02  5.3000e+01  2.8000e+02
  2.8750e+02  5.4000e+01  2.8500e+02
  2.9250e+02  4.9000e+01  2.9000e+02
  2.9750e+02  3.2000e+01  2.9500e+02
  2.9750e+02  0.0000e+00  3.0000e+02
