#: table_doi: 10.17182/hepdata.127994.v1/t88
#: name: Muon Reconstruction Efficiency, R-hadron distribution
#: description: Muon reconstruction efficiency as a function of β and |η| for (a) stable charginos and (b) stable charged R-hadrons. For weakly interacting LLPs with calorimeter materials the efficiency for the chargino is recommended to refer to. The muon reconstruction efficiency for R-hadrons is significantly lower due to having QCD interactions with materials.
#: data_file: figaux32b_muRecoMap_rhadron.yaml
#: keyword cmenergies: 13000.0
#: keyword observables: Acc/Eff
#: keyword phrases: Supersymmetry | SUSY | Proton-Proton Scattering | Charged Long-lived Particles
beta,|eta|,Efficiency
0.34,0.85,0.0
0.38,0.85,0.0
0.42,0.85,0.0
0.46,0.85,0.0
0.5,0.85,0.006
0.54,0.85,0.005
0.58,0.85,0.004
0.62,0.85,0.004
0.66,0.85,0.046
0.7,0.85,0.137
0.74,0.85,0.21
0.78,0.85,0.255
0.82,0.85,0.449
0.86,0.85,0.442
0.9,0.85,0.548
0.94,0.85,0.48
0.98,0.85,0.0
0.02,0.95,0.0
0.06,0.95,0.0
0.1,0.95,0.0
0.14,0.95,0.0
0.18,0.95,0.0
0.22,0.95,0.0
0.26,0.95,0.0
0.3,0.95,0.0
0.34,0.95,0.0
0.38,0.95,0.0
0.42,0.95,0.0
0.46,0.95,0.007
0.5,0.95,0.0
0.54,0.95,0.0
0.58,0.95,0.009
0.62,0.95,0.01
0.66,0.95,0.034
0.7,0.95,0.027
0.74,0.95,0.133
0.78,0.95,0.261
0.82,0.95,0.407
0.86,0.95,0.488
0.9,0.95,0.434
0.94,0.95,0.444
0.98,0.95,0.4
0.02,1.05,0.0
0.06,1.05,0.0
0.1,1.05,0.0
0.14,1.05,0.0
0.18,1.05,0.0
0.22,1.05,0.0
0.26,1.05,0.0
0.3,1.05,0.0
0.34,1.05,0.0
0.38,1.05,0.0
0.42,1.05,0.0
0.46,1.05,0.0
0.5,1.05,0.0
0.54,1.05,0.0
0.58,1.05,0.0
0.62,1.05,0.009
0.66,1.05,0.022
0.7,1.05,0.053
0.74,1.05,0.127
0.78,1.05,0.244
0.82,1.05,0.349
0.86,1.05,0.417
0.9,1.05,0.476
0.94,1.05,0.396
0.98,1.05,1.0
0.02,1.15,0.0
0.06,1.15,0.0
0.1,1.15,0.0
0.14,1.15,0.0
0.18,1.15,0.0
0.22,1.15,0.0
0.26,1.15,0.0
0.3,1.15,0.0
0.34,1.15,0.0
0.38,1.15,0.0
0.42,1.15,0.0
0.46,1.15,0.0
0.5,1.15,0.007
0.54,1.15,0.0
0.58,1.15,0.011
0.62,1.15,0.036
0.66,1.15,0.077
0.7,1.15,0.088
0.74,1.15,0.154
0.78,1.15,0.262
0.82,1.15,0.357
0.86,1.15,0.465
0.9,1.15,0.496
0.94,1.15,0.576
0.98,1.15,0.667
0.02,1.25,0.0
0.06,1.25,0.0
0.1,1.25,0.0
0.14,1.25,0.0
0.18,1.25,0.0
0.22,1.25,0.053
0.26,1.25,0.0
0.3,1.25,0.071
0.34,1.25,0.087
0.38,1.25,0.158
0.42,1.25,0.09
0.46,1.25,0.185
0.5,1.25,0.23
0.54,1.25,0.224
0.58,1.25,0.178
0.62,1.25,0.202
0.66,1.25,0.221
0.7,1.25,0.158
0.74,1.25,0.109
0.78,1.25,0.217
0.82,1.25,0.407
0.86,1.25,0.404
0.9,1.25,0.404
0.94,1.25,0.607
0.98,1.25,0.167
0.02,1.35,0.0
0.06,1.35,0.0
0.1,1.35,0.0
0.14,1.35,0.0
0.18,1.35,0.0
0.22,1.35,0.0
0.26,1.35,0.0
0.3,1.35,0.0
0.34,1.35,0.0
0.38,1.35,0.02
0.42,1.35,0.15
0.46,1.35,0.13
0.5,1.35,0.085
0.54,1.35,0.107
0.58,1.35,0.13
0.62,1.35,0.202
0.66,1.35,0.145
0.7,1.35,0.17
0.74,1.35,0.108
0.78,1.35,0.247
0.82,1.35,0.28
0.86,1.35,0.531
0.9,1.35,0.479
0.94,1.35,0.42
0.98,1.35,0.333
0.02,1.45,0.0
0.06,1.45,0.0
0.1,1.45,0.0
0.14,1.45,0.0
0.18,1.45,0.0
0.22,1.45,0.0
0.26,1.45,0.0
0.3,1.45,0.0
0.34,1.45,0.0
0.38,1.45,0.0
0.42,1.45,0.022
0.46,1.45,0.028
0.5,1.45,0.05
0.54,1.45,0.127
0.58,1.45,0.237
0.62,1.45,0.224
0.66,1.45,0.222
0.7,1.45,0.21
0.74,1.45,0.174
0.78,1.45,0.315
0.82,1.45,0.387
0.86,1.45,0.466
0.9,1.45,0.485
0.94,1.45,0.486
0.98,1.45,0.562
0.02,1.55,0.0
0.06,1.55,0.0
0.1,1.55,0.0
0.14,1.55,0.0
0.18,1.55,0.0
0.22,1.55,0.0
0.26,1.55,0.0
0.3,1.55,0.0
0.34,1.55,0.0
0.38,1.55,0.0
0.42,1.55,0.0
0.46,1.55,0.0
0.5,1.55,0.066
0.54,1.55,0.083
0.58,1.55,0.02
0.62,1.55,0.178
0.66,1.55,0.147
0.7,1.55,0.148
0.74,1.55,0.149
0.78,1.55,0.306
0.82,1.55,0.348
0.86,1.55,0.423
0.9,1.55,0.536
0.94,1.55,0.467
0.98,1.55,0.385
0.02,1.65,0.0
0.06,1.65,0.0
0.1,1.65,0.0
0.14,1.65,0.0
0.18,1.65,0.0
0.22,1.65,0.0
0.26,1.65,0.0
0.3,1.65,0.0
0.34,1.65,0.0
0.38,1.65,0.0
0.42,1.65,0.0
0.46,1.65,0.0
0.5,1.65,0.0
0.54,1.65,0.0
0.58,1.65,0.0
0.62,1.65,0.024
0.66,1.65,0.025
0.7,1.65,0.057
0.74,1.65,0.133
0.78,1.65,0.174
0.82,1.65,0.321
0.86,1.65,0.419
0.9,1.65,0.418
0.94,1.65,0.478
0.98,1.65,0.429
0.02,1.75,0.0
0.06,1.75,0.0
0.1,1.75,0.0
0.14,1.75,0.0
0.18,1.75,0.0
0.22,1.75,0.0
0.26,1.75,0.0
0.3,1.75,0.0
0.34,1.75,0.0
0.38,1.75,0.0
0.42,1.75,0.0
0.46,1.75,0.0
0.5,1.75,0.0
0.54,1.75,0.0
0.58,1.75,0.0
0.62,1.75,0.044
0.66,1.75,0.0
0.7,1.75,0.097
0.74,1.75,0.162
0.78,1.75,0.231
0.82,1.75,0.236
0.86,1.75,0.394
0.9,1.75,0.388
0.94,1.75,0.436
0.98,1.75,0.4

