#: table_doi: 10.17182/hepdata.127994.v1/t87
#: name: Muon Reconstruction Efficiency distribution
#: description: Muon reconstruction efficiency as a function of β and |η| for (a) stable charginos and (b) stable charged R-hadrons. For weakly interacting LLPs with calorimeter materials the efficiency for the chargino is recommended to refer to. The muon reconstruction efficiency for R-hadrons is significantly lower due to having QCD interactions with materials.
#: data_file: figaux32a_muRecoMap_chargino.yaml
#: keyword cmenergies: 13000.0
#: keyword observables: Acc/Eff
#: keyword phrases: Supersymmetry | SUSY | Proton-Proton Scattering | Charged Long-lived Particles
beta,|eta|,Efficiency
0.34,0.85,0.0
0.38,0.85,0.0
0.42,0.85,0.007
0.46,0.85,0.006
0.5,0.85,0.011
0.54,0.85,0.018
0.58,0.85,0.014
0.62,0.85,0.034
0.66,0.85,0.086
0.7,0.85,0.297
0.74,0.85,0.578
0.78,0.85,0.761
0.82,0.85,0.907
0.86,0.85,0.942
0.9,0.85,0.968
0.94,0.85,0.982
0.98,0.85,1.0
0.02,0.95,0.0
0.06,0.95,0.0
0.1,0.95,0.0
0.14,0.95,0.0
0.18,0.95,0.0
0.22,0.95,0.0
0.26,0.95,0.0
0.3,0.95,0.0
0.34,0.95,0.0
0.38,0.95,0.0
0.42,0.95,0.0
0.46,0.95,0.012
0.5,0.95,0.011
0.54,0.95,0.005
0.58,0.95,0.012
0.62,0.95,0.032
0.66,0.95,0.082
0.7,0.95,0.251
0.74,0.95,0.545
0.78,0.95,0.745
0.82,0.95,0.872
0.86,0.95,0.953
0.9,0.95,0.95
0.94,0.95,0.987
0.98,0.95,1.0
0.02,1.05,0.0
0.06,1.05,0.0
0.1,1.05,0.0
0.14,1.05,0.0
0.18,1.05,0.0
0.22,1.05,0.0
0.26,1.05,0.0
0.3,1.05,0.0
0.34,1.05,0.0
0.38,1.05,0.0
0.42,1.05,0.0
0.46,1.05,0.0
0.5,1.05,0.0
0.54,1.05,0.0
0.58,1.05,0.009
0.62,1.05,0.019
0.66,1.05,0.049
0.7,1.05,0.176
0.74,1.05,0.395
0.78,1.05,0.599
0.82,1.05,0.805
0.86,1.05,0.953
0.9,1.05,0.967
0.94,1.05,0.974
0.98,1.05,0.9
0.02,1.15,0.0
0.06,1.15,0.0
0.1,1.15,0.0
0.14,1.15,0.0
0.18,1.15,0.0
0.22,1.15,0.0
0.26,1.15,0.0
0.3,1.15,0.0
0.34,1.15,0.0
0.38,1.15,0.014
0.42,1.15,0.0
0.46,1.15,0.0
0.5,1.15,0.0
0.54,1.15,0.012
0.58,1.15,0.067
0.62,1.15,0.157
0.66,1.15,0.216
0.7,1.15,0.373
0.74,1.15,0.562
0.78,1.15,0.781
0.82,1.15,0.879
0.86,1.15,0.967
0.9,1.15,0.948
0.94,1.15,0.99
0.98,1.15,1.0
0.02,1.25,0.0
0.06,1.25,0.0
0.1,1.25,0.0
0.14,1.25,0.0
0.18,1.25,0.0
0.22,1.25,0.0
0.26,1.25,0.056
0.3,1.25,0.121
0.34,1.25,0.167
0.38,1.25,0.231
0.42,1.25,0.278
0.46,1.25,0.206
0.5,1.25,0.319
0.54,1.25,0.399
0.58,1.25,0.356
0.62,1.25,0.498
0.66,1.25,0.614
0.7,1.25,0.638
0.74,1.25,0.737
0.78,1.25,0.868
0.82,1.25,0.921
0.86,1.25,0.96
0.9,1.25,0.952
0.94,1.25,0.982
0.98,1.25,0.944
0.02,1.35,0.0
0.06,1.35,0.0
0.1,1.35,0.0
0.14,1.35,0.0
0.18,1.35,0.0
0.22,1.35,0.0
0.26,1.35,0.0
0.3,1.35,0.037
0.34,1.35,0.067
0.38,1.35,0.175
0.42,1.35,0.229
0.46,1.35,0.224
0.5,1.35,0.298
0.54,1.35,0.245
0.58,1.35,0.305
0.62,1.35,0.44
0.66,1.35,0.521
0.7,1.35,0.621
0.74,1.35,0.658
0.78,1.35,0.753
0.82,1.35,0.843
0.86,1.35,0.933
0.9,1.35,0.97
0.94,1.35,0.955
0.98,1.35,0.966
0.02,1.45,0.0
0.06,1.45,0.0
0.1,1.45,0.0
0.14,1.45,0.0
0.18,1.45,0.0
0.22,1.45,0.0
0.26,1.45,0.0
0.3,1.45,0.0
0.34,1.45,0.0
0.38,1.45,0.0
0.42,1.45,0.014
0.46,1.45,0.051
0.5,1.45,0.147
0.54,1.45,0.33
0.58,1.45,0.359
0.62,1.45,0.503
0.66,1.45,0.661
0.7,1.45,0.717
0.74,1.45,0.811
0.78,1.45,0.898
0.82,1.45,0.959
0.86,1.45,0.977
0.9,1.45,0.982
0.94,1.45,0.986
0.98,1.45,0.974
0.02,1.55,0.0
0.06,1.55,0.0
0.1,1.55,0.0
0.14,1.55,0.0
0.18,1.55,0.0
0.22,1.55,0.0
0.26,1.55,0.0
0.3,1.55,0.0
0.34,1.55,0.0
0.38,1.55,0.0
0.42,1.55,0.0
0.46,1.55,0.035
0.5,1.55,0.107
0.54,1.55,0.182
0.58,1.55,0.229
0.62,1.55,0.301
0.66,1.55,0.474
0.7,1.55,0.526
0.74,1.55,0.72
0.78,1.55,0.791
0.82,1.55,0.903
0.86,1.55,0.96
0.9,1.55,0.986
0.94,1.55,0.972
0.98,1.55,0.981
0.02,1.65,0.0
0.06,1.65,0.0
0.1,1.65,0.0
0.14,1.65,0.0
0.18,1.65,0.0
0.22,1.65,0.0
0.26,1.65,0.0
0.3,1.65,0.0
0.34,1.65,0.0
0.38,1.65,0.0
0.42,1.65,0.0
0.46,1.65,0.0
0.5,1.65,0.0
0.54,1.65,0.012
0.58,1.65,0.011
0.62,1.65,0.053
0.66,1.65,0.139
0.7,1.65,0.269
0.74,1.65,0.468
0.78,1.65,0.674
0.82,1.65,0.85
0.86,1.65,0.944
0.9,1.65,0.963
0.94,1.65,0.981
0.98,1.65,1.0
0.02,1.75,0.0
0.06,1.75,0.0
0.1,1.75,0.0
0.14,1.75,0.0
0.18,1.75,0.0
0.22,1.75,0.0
0.26,1.75,0.0
0.3,1.75,0.0
0.34,1.75,0.0
0.38,1.75,0.0
0.42,1.75,0.0
0.46,1.75,0.0
0.5,1.75,0.0
0.54,1.75,0.014
0.58,1.75,0.025
0.62,1.75,0.065
0.66,1.75,0.155
0.7,1.75,0.312
0.74,1.75,0.669
0.78,1.75,0.856
0.82,1.75,0.909
0.86,1.75,0.964
0.9,1.75,0.991
0.94,1.75,0.967
0.98,1.75,0.985

