#: table_doi: 10.17182/hepdata.78697.v2/t5
#: name: Table 5
#: description: Two-dimensional distribution of $m_{\mathrm{DV}}$ and track multiplicity for DVs in data events and events of a $R$-hadron signal sample with $m_{\tilde{g}} = 1.4$ TeV, $m_{\tilde{\chi}_{1}^{0}} = 100$ GeV and $\tau_{\tilde{g}} = 1$ ns that satisfy all signal region event selection criteria.
#: data_file: data11.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO
#: keyword observables: N
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: SQRT(S) [GeV],13000
'Number of DV tracks','DV mass [GeV]','Number of observed vertices'
17.0,37.7167,0.0
17.0,46.9647,0.0
17.0,58.6072,0.0
17.0,73.2643,0.0
17.0,90.7164,0.0
18.0,24.5357,0.0
18.0,30.3708,0.0
18.0,46.9647,0.0
18.0,58.6072,0.0
18.0,73.2643,0.0
18.0,90.7164,0.0
19.0,30.3708,0.0
19.0,37.7167,0.0
19.0,46.9647,0.0
19.0,58.6072,0.0
19.0,73.2643,0.0
19.0,90.7164,0.0
20.0,30.3708,0.0
20.0,37.7167,0.0
20.0,46.9647,0.0
20.0,58.6072,0.0
20.0,73.2643,0.0
20.0,90.7164,0.0
21.0,30.3708,0.0
21.0,37.7167,0.0
21.0,46.9647,0.0
21.0,58.6072,0.0
21.0,73.2643,0.0
21.0,90.7164,0.0
22.0,46.9647,0.0
22.0,58.6072,0.0
22.0,73.2643,0.0
22.0,90.7164,0.0
23.0,30.3708,0.0
23.0,58.6072,0.0
23.0,73.2643,0.0
23.0,90.7164,0.0
24.0,46.9647,0.0
24.0,58.6072,0.0
24.0,73.2643,0.0
24.0,90.7164,0.0
25.0,58.6072,0.0
25.0,73.2643,0.0
25.0,90.7164,0.0
26.0,46.9647,0.0
26.0,58.6072,0.0
26.0,73.2643,0.0
27.0,58.6072,0.0
27.0,73.2643,0.0
27.0,90.7164,0.0
28.0,58.6072,0.0
28.0,73.2643,0.0
29.0,73.2643,0.0
30.0,90.7164,0.0
31.0,73.2643,0.0
31.0,90.7164,0.0
32.0,90.7164,0.0
34.0,90.7164,0.0

#: SQRT(S) [GeV],13000
'Number of DV tracks','DV mass [GeV]','Number of signal vertices'
2.0,3.12946,5.25565
2.0,3.42191,6.63872
2.0,3.79008,8.2984
2.0,4.25357,7.83738
2.0,4.83708,9.49706
2.0,5.57167,8.02179
2.0,6.49647,7.19195
2.0,7.66072,8.57501
2.0,9.12643,4.79463
2.0,10.9716,4.61022
2.0,13.2946,3.59597
2.0,16.2191,2.95054
2.0,19.9008,1.47527
2.0,24.5357,1.01425
2.0,30.3708,0.922044
2.0,37.7167,0.184409
2.0,46.9647,0.737636
2.0,58.6072,0.0922044
2.0,73.2643,0.184409
2.0,90.7164,0.184409
3.0,3.12946,0.922044
3.0,3.42191,1.10645
3.0,3.79008,1.01425
3.0,4.25357,1.38307
3.0,4.83708,2.21291
3.0,5.57167,2.39732
3.0,6.49647,1.93629
3.0,7.66072,1.84409
3.0,9.12643,1.29086
3.0,10.9716,1.56748
3.0,13.2946,1.56748
3.0,16.2191,1.19866
3.0,19.9008,1.01425
3.0,24.5357,0.276613
3.0,30.3708,0.0922044
3.0,37.7167,0.276613
3.0,46.9647,0.184409
3.0,58.6072,0.0
4.0,3.12946,0.922044
4.0,3.42191,1.01425
4.0,3.79008,0.184409
4.0,4.25357,1.01425
4.0,4.83708,0.922044
4.0,5.57167,1.84409
4.0,6.49647,2.39732
4.0,7.66072,2.30511
4.0,9.12643,1.75188
4.0,10.9716,1.93629
4.0,13.2946,1.93629
4.0,16.2191,1.93629
4.0,19.9008,1.29086
4.0,24.5357,0.737636
4.0,30.3708,0.737636
4.0,37.7167,0.553227
4.0,58.6072,0.0922044
4.0,90.7164,0.0922044
5.0,3.12946,0.184409
5.0,3.42191,0.461022
5.0,3.79008,0.553227
5.0,4.25357,0.461022
5.0,4.83708,0.737636
