#: table_doi: 10.17182/hepdata.137762.v1/t87
#: name: vertex_efficiency_R_73_84_mm
#: description: Reinterpretation Material: Vertex-level Efficiency for R [73, 84] mm
#: data_file: vertex_efficiency_r_73_84_mm.yaml
#: keyword observables: EFF
#: keyword reactions: P P --> GLUINO GLUINO X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],,,,,139
#: Energy [TeV],,,,,13
m_DV [GeV],m_DV [GeV] LOW,m_DV [GeV] HIGH,n_tracks,n_tracks LOW,n_tracks HIGH,Efficiency,stat +,stat -
12.5,10.0,15.0,5.5,5.0,6.0,0.0,0,0
12.5,10.0,15.0,6.5,6.0,7.0,0.10714,0.065089,-0.065089
12.5,10.0,15.0,8.5,7.0,10.0,0.092105,0.021004,-0.021004
12.5,10.0,15.0,12.5,10.0,15.0,0.070588,0.0099391,-0.0099391
12.5,10.0,15.0,17.5,15.0,20.0,0.028674,0.010282,-0.010282
12.5,10.0,15.0,25.0,20.0,30.0,0.0,0,0
12.5,10.0,15.0,40.0,30.0,50.0,0.0,0,0
12.5,10.0,15.0,125.0,50.0,200.0,0.0,0,0
17.5,15.0,20.0,5.5,5.0,6.0,0.0,0,0
17.5,15.0,20.0,6.5,6.0,7.0,0.055556,0.057078,-0.057078
17.5,15.0,20.0,8.5,7.0,10.0,0.20465,0.033862,-0.033862
17.5,15.0,20.0,12.5,10.0,15.0,0.25681,0.016326,-0.016326
17.5,15.0,20.0,17.5,15.0,20.0,0.19715,0.016742,-0.016742
17.5,15.0,20.0,25.0,20.0,30.0,0.11236,0.026498,-0.026498
17.5,15.0,20.0,40.0,30.0,50.0,0.0,0,0
17.5,15.0,20.0,125.0,50.0,200.0,0.0,0,0
25.0,20.0,30.0,5.5,5.0,6.0,0.0,0,0
25.0,20.0,30.0,6.5,6.0,7.0,0.21053,0.11581,-0.11581
25.0,20.0,30.0,8.5,7.0,10.0,0.29781,0.034808,-0.034808
25.0,20.0,30.0,12.5,10.0,15.0,0.39653,0.013717,-0.013717
25.0,20.0,30.0,17.5,15.0,20.0,0.41128,0.012796,-0.012796
25.0,20.0,30.0,25.0,20.0,30.0,0.35291,0.015416,-0.015416
25.0,20.0,30.0,40.0,30.0,50.0,0.21154,0.070204,-0.070204
25.0,20.0,30.0,125.0,50.0,200.0,0.0,0,0
40.0,30.0,50.0,5.5,5.0,6.0,0.0,0,0
40.0,30.0,50.0,6.5,6.0,7.0,0.0,0,0
40.0,30.0,50.0,8.5,7.0,10.0,0.25874,0.047724,-0.047724
40.0,30.0,50.0,12.5,10.0,15.0,0.5078,0.019326,-0.019326
40.0,30.0,50.0,17.5,15.0,20.0,0.52432,0.014656,-0.014656
40.0,30.0,50.0,25.0,20.0,30.0,0.47249,0.014383,-0.014383
40.0,30.0,50.0,40.0,30.0,50.0,0.31532,0.043223,-0.043223
40.0,30.0,50.0,125.0,50.0,200.0,0.0,0,0
75.0,50.0,100.0,5.5,5.0,6.0,0.0,0,0
75.0,50.0,100.0,6.5,6.0,7.0,0.0,0,0
75.0,50.0,100.0,8.5,7.0,10.0,0.21875,0.091276,-0.091276
75.0,50.0,100.0,12.5,10.0,15.0,0.40041,0.033759,-0.033759
75.0,50.0,100.0,17.5,15.0,20.0,0.58509,0.026426,-0.026426
75.0,50.0,100.0,25.0,20.0,30.0,0.70777,0.019778,-0.019778
75.0,50.0,100.0,40.0,30.0,50.0,0.77966,0.031977,-0.031977
75.0,50.0,100.0,125.0,50.0,200.0,0.5,0.25,-0.25
150.0,100.0,200.0,5.5,5.0,6.0,0.0,0,0
150.0,100.0,200.0,6.5,6.0,7.0,0.0,0,0
150.0,100.0,200.0,8.5,7.0,10.0,0.125,0.09375,-0.09375
150.0,100.0,200.0,12.5,10.0,15.0,0.40347,0.037438,-0.037438
150.0,100.0,200.0,17.5,15.0,20.0,0.58553,0.020887,-0.020887
150.0,100.0,200.0,25.0,20.0,30.0,0.70373,0.011954,-0.011954
150.0,100.0,200.0,40.0,30.0,50.0,0.79714,0.014538,-0.014538
150.0,100.0,200.0,125.0,50.0,200.0,0.86111,0.086137,-0.086137
350.0,200.0,500.0,5.5,5.0,6.0,0.0,0,0
350.0,200.0,500.0,6.5,6.0,7.0,0.0,0,0
350.0,200.0,500.0,8.5,7.0,10.0,0.0,0,0
350.0,200.0,500.0,12.5,10.0,15.0,0.23077,0.052259,-0.052259
350.0,200.0,500.0,17.5,15.0,20.0,0.433,0.026213,-0.026213
350.0,200.0,500.0,25.0,20.0,30.0,0.60005,0.011336,-0.011336
350.0,200.0,500.0,40.0,30.0,50.0,0.75088,0.0085579,-0.0085579
350.0,200.0,500.0,125.0,50.0,200.0,0.85349,0.020622,-0.020622
2750.0,500.0,5000.0,5.5,5.0,6.0,0.0,0,0
2750.0,500.0,5000.0,6.5,6.0,7.0,0.0,0,0
2750.0,500.0,5000.0,8.5,7.0,10.0,0.0,0,0
2750.0,500.0,5000.0,12.5,10.0,15.0,0.0,0,0
2750.0,500.0,5000.0,17.5,15.0,20.0,0.26667,0.045245,-0.045245
2750.0,500.0,5000.0,25.0,20.0,30.0,0.41929,0.01229,-0.01229
2750.0,500.0,5000.0,40.0,30.0,50.0,0.59731,0.0054748,-0.0054748
2750.0,500.0,5000.0,125.0,50.0,200.0,0.73089,0.0057717,-0.0057717

