# mN2_GeV, mN1_GeV,   tau_ns,    Eff,       EffErr
6.5000e+02,6.4000e+02,4.8000e+00,1.5340e-02,3.2490e-04
2.5000e+02,2.5000e+02,2.1000e-02,1.9620e-03,1.4680e-04
6.5000e+02,6.5000e+02,8.9000e+00,8.0140e-03,2.2630e-04
6.5000e+02,6.4000e+02,8.9000e+00,7.8090e-03,2.2300e-04
6.5000e+02,6.5000e+02,1.6000e+01,4.0820e-03,1.6040e-04
6.5000e+02,6.4000e+02,1.6000e+01,3.9070e-03,1.5120e-04
6.5000e+02,6.5000e+02,3.0000e+01,1.9890e-03,1.0890e-04
2.5000e+02,2.4000e+02,2.1000e-02,1.7590e-03,1.3690e-04
6.5000e+02,6.4000e+02,3.0000e+01,1.8290e-03,1.0410e-04
6.5000e+02,6.5000e+02,5.5000e+01,9.1190e-04,7.1760e-05
6.5000e+02,6.4000e+02,5.5000e+01,8.7840e-04,7.1050e-05
6.5000e+02,6.5000e+02,1.0000e+02,5.0020e-04,5.5840e-05
6.5000e+02,6.4000e+02,1.0000e+02,5.4610e-04,5.6970e-05
8.5000e+02,8.5000e+02,1.0000e-03,2.4960e-05,1.7650e-05
8.5000e+02,8.4000e+02,1.0000e-03,6.1990e-05,2.7720e-05
8.5000e+02,8.5000e+02,1.8000e-03,5.5490e-04,8.2740e-05
8.5000e+02,8.4000e+02,1.8000e-03,7.8960e-04,9.8720e-05
8.5000e+02,8.5000e+02,3.4000e-03,8.4000e-03,3.1990e-04
8.5000e+02,8.4000e+02,3.4000e-03,8.2900e-03,3.1760e-04
8.5000e+02,8.5000e+02,6.2000e-03,4.0370e-02,6.9880e-04
8.5000e+02,8.4000e+02,6.2000e-03,4.1180e-02,7.0590e-04
8.5000e+02,8.5000e+02,1.1000e-02,1.0620e-01,1.1340e-03
8.5000e+02,8.4000e+02,1.1000e-02,1.0710e-01,1.1390e-03
2.5000e+02,2.5000e+02,3.8000e-02,2.0070e-03,1.4690e-04
8.5000e+02,8.5000e+02,2.1000e-02,2.0410e-01,1.5740e-03
8.5000e+02,8.4000e+02,2.1000e-02,2.0340e-01,1.5700e-03
8.5000e+02,8.5000e+02,3.8000e-02,2.7950e-01,1.8380e-03
8.5000e+02,8.4000e+02,3.8000e-02,2.7690e-01,1.8290e-03
8.5000e+02,8.5000e+02,7.0000e-02,3.1730e-01,1.9420e-03
2.5000e+02,2.4000e+02,3.8000e-02,1.6960e-03,1.3190e-04
8.5000e+02,8.4000e+02,7.0000e-02,3.1570e-01,1.9380e-03
8.5000e+02,8.5000e+02,1.3000e-01,3.2140e-01,1.9210e-03
8.5000e+02,8.4000e+02,1.3000e-01,3.1860e-01,1.9130e-03
8.5000e+02,8.5000e+02,2.3000e-01,2.9880e-01,1.8060e-03
8.5000e+02,8.4000e+02,2.3000e-01,2.9630e-01,1.7980e-03
8.5000e+02,8.5000e+02,4.3000e-01,2.5410e-01,1.6030e-03
8.5000e+02,8.4000e+02,4.3000e-01,2.5280e-01,1.6000e-03
8.5000e+02,8.5000e+02,7.8000e-01,1.9870e-01,1.3620e-03
8.5000e+02,8.4000e+02,7.8000e-01,1.9860e-01,1.3660e-03
8.5000e+02,8.5000e+02,1.4000e+00,1.4480e-01,1.1210e-03
8.5000e+02,8.4000e+02,1.4000e+00,1.4340e-01,1.1170e-03
8.5000e+02,8.5000e+02,2.6000e+00,9.3260e-02,8.6900e-04
8.5000e+02,8.4000e+02,2.6000e+00,9.1010e-02,8.5300e-04
8.5000e+02,8.5000e+02,4.8000e+00,5.4610e-02,6.4110e-04
8.5000e+02,8.4000e+02,4.8000e+00,5.3630e-02,6.3430e-04
2.5000e+02,2.5000e+02,7.0000e-02,1.7610e-03,1.3340e-04
8.5000e+02,8.5000e+02,8.9000e+00,2.9600e-02,4.5470e-04
8.5000e+02,8.4000e+02,8.9000e+00,2.9210e-02,4.5080e-04
8.5000e+02,8.5000e+02,1.6000e+01,1.6120e-02,3.2390e-04
8.5000e+02,8.4000e+02,1.6000e+01,1.6090e-02,3.2800e-04
8.5000e+02,8.5000e+02,3.0000e+01,8.4670e-03,2.3100e-04
2.5000e+02,2.4000e+02,7.0000e-02,1.5830e-03,1.2470e-04
8.5000e+02,8.4000e+02,3.0000e+01,8.0320e-03,2.2390e-04
8.5000e+02,8.5000e+02,5.5000e+01,4.3900e-03,1.6610e-04
8.5000e+02,8.4000e+02,5.5000e+01,4.2190e-03,1.6060e-04
8.5000e+02,8.5000e+02,1.0000e+02,2.3960e-03,1.2310e-04
8.5000e+02,8.4000e+02,1.0000e+02,2.3660e-03,1.2190e-04
1.0500e+03,1.0500e+03,1.0000e-03,1.2430e-05,1.2430e-05
1.0500e+03,1.0400e+03,1.0000e-03,2.3650e-05,1.6750e-05
1.0500e+03,1.0500e+03,1.8000e-03,5.0770e-04,7.9300e-05
1.0500e+03,1.0400e+03,1.8000e-03,3.9410e-04,6.9690e-05
1.0500e+03,1.0500e+03,3.4000e-03,7.2510e-03,2.9860e-04
1.0500e+03,1.0400e+03,3.4000e-03,7.5660e-03,3.0490e-04
1.0500e+03,1.0500e+03,6.2000e-03,4.3860e-02,7.3260e-04
1.0500e+03,1.0400e+03,6.2000e-03,4.3980e-02,7.3350e-04
1.0500e+03,1.0500e+03,1.1000e-02,1.3250e-01,1.2720e-03
1.0500e+03,1.0400e+03,1.1000e-02,1.2980e-01,1.2590e-03
2.5000e+02,2.5000e+02,1.3000e-01,1.4420e-03,1.1490e-04
1.0500e+03,1.0500e+03,2.1000e-02,2.7700e-01,1.8390e-03
1.0500e+03,1.0400e+03,2.1000e-02,2.7360e-01,1.8270e-03
1.0500e+03,1.0500e+03,3.8000e-02,4.0030e-01,2.2060e-03
