# mN2_GeV, mN1_GeV,   tau_ns,    Eff,       EffErr
1.8500e+03,1.8400e+03,1.0000e+02,1.0550e-02,2.6820e-04
2.5000e+02,2.5000e+02,5.5000e+01,6.2310e-06,6.2310e-06
2.5000e+02,2.4000e+02,5.5000e+01,1.8970e-06,1.8970e-06
2.5000e+02,2.5000e+02,1.0000e+02,3.3570e-06,3.3570e-06
2.5000e+02,2.4000e+02,1.0000e+02,2.7810e-07,2.7810e-07
4.5000e+02,4.5000e+02,1.0000e-03,2.3190e-05,1.6400e-05
4.5000e+02,4.4000e+02,1.0000e-03,4.6280e-05,2.3150e-05
4.5000e+02,4.5000e+02,1.8000e-03,6.7170e-04,8.8270e-05
4.5000e+02,4.4000e+02,1.8000e-03,7.6450e-04,9.3720e-05
4.5000e+02,4.5000e+02,3.4000e-03,4.7010e-03,2.3310e-04
4.5000e+02,4.4000e+02,3.4000e-03,4.3180e-03,2.2330e-04
4.5000e+02,4.5000e+02,6.2000e-03,1.1920e-02,3.7280e-04
4.5000e+02,4.4000e+02,6.2000e-03,1.1010e-02,3.5690e-04
4.5000e+02,4.5000e+02,1.1000e-02,1.9900e-02,4.8090e-04
4.5000e+02,4.4000e+02,1.1000e-02,1.8820e-02,4.6730e-04
