#Efficiencies for the High PT SR obtained with recasting for the Strong model:
# (pp > Gluino Gluino, Gluino > q,q,N1).
  mN1_GeV, mGluino_GeV, width_GeV, tau_ns,     Eff,       EffErr
2.4500e+03,2.5000e+03,6.5820e-17,1.0000e+01,1.0510e-01,1.5700e-03
2.4500e+03,2.7000e+03,2.0829e-13,3.1600e-03,1.1230e-04,6.4860e-05
2.4500e+03,2.7000e+03,8.5039e-14,7.7400e-03,9.7480e-03,6.0460e-04
2.4500e+03,2.7000e+03,3.4642e-14,1.9000e-02,9.7580e-02,1.9170e-03
2.4500e+03,2.7000e+03,1.4185e-14,4.6400e-02,2.8930e-01,3.3090e-03
2.4500e+03,2.7000e+03,5.7737e-15,1.1400e-01,4.3700e-01,4.0500e-03
2.4500e+03,2.7000e+03,2.3676e-15,2.7800e-01,4.5820e-01,4.0580e-03
2.4500e+03,2.7000e+03,9.6652e-16,6.8100e-01,3.9950e-01,3.6250e-03
2.4500e+03,2.7000e+03,3.9413e-16,1.6700e+00,2.9020e-01,2.9020e-03
2.4500e+03,2.7000e+03,1.6132e-16,4.0800e+00,1.7350e-01,2.1130e-03
5.0000e+01,2.7000e+03,5.7737e-15,1.1400e-01,6.1460e-02,9.0330e-04
2.4500e+03,2.7000e+03,6.5820e-17,1.0000e+01,8.7180e-02,1.4400e-03
2.4500e+03,2.9000e+03,2.0829e-13,3.1600e-03,0.0000e+00,0.0000e+00
2.4500e+03,2.9000e+03,8.5039e-14,7.7400e-03,4.1990e-03,3.9680e-04
2.4500e+03,2.9000e+03,3.4642e-14,1.9000e-02,6.4190e-02,1.5540e-03
2.4500e+03,2.9000e+03,1.4185e-14,4.6400e-02,1.9780e-01,2.7370e-03
2.4500e+03,2.9000e+03,5.7737e-15,1.1400e-01,2.9900e-01,3.3490e-03
2.4500e+03,2.9000e+03,2.3676e-15,2.7800e-01,3.1820e-01,3.3820e-03
2.4500e+03,2.9000e+03,9.6652e-16,6.8100e-01,2.7980e-01,3.0380e-03
2.4500e+03,2.9000e+03,3.9413e-16,1.6700e+00,2.0280e-01,2.4280e-03
2.4500e+03,2.9000e+03,1.6132e-16,4.0800e+00,1.2400e-01,1.7930e-03
5.0000e+01,2.7000e+03,2.3676e-15,2.7800e-01,2.9680e-02,5.9900e-04
2.4500e+03,2.9000e+03,6.5820e-17,1.0000e+01,6.1920e-02,1.2190e-03
2.6500e+03,2.7000e+03,2.0829e-13,3.1600e-03,1.1250e-04,6.4960e-05
2.6500e+03,2.7000e+03,8.5039e-14,7.7400e-03,8.8940e-03,5.7770e-04
2.6500e+03,2.7000e+03,3.4642e-14,1.9000e-02,9.3930e-02,1.8810e-03
