#Efficiencies for the Trackless SR obtained with recasting for the EWK model:
# (pp > N1N2) using a higgsino scenario.
  mN2_GeV,   mN1_GeV, width_GeV, tau_ns,     Eff,       EffErr
6.5000e+02,6.5000e+02,5.0631e-15,1.3000e-01,3.8580e-01,1.8460e-03
6.5000e+02,6.4000e+02,5.0631e-15,1.3000e-01,3.8660e-01,1.8500e-03
6.5000e+02,6.5000e+02,2.8617e-15,2.3000e-01,3.6500e-01,1.7640e-03
6.5000e+02,6.4000e+02,2.8617e-15,2.3000e-01,3.6310e-01,1.7600e-03
6.5000e+02,6.5000e+02,1.5307e-15,4.3000e-01,3.1200e-01,1.5820e-03
6.5000e+02,6.4000e+02,1.5307e-15,4.3000e-01,3.1120e-01,1.5820e-03
6.5000e+02,6.5000e+02,8.4385e-16,7.8000e-01,2.4550e-01,1.3550e-03
6.5000e+02,6.4000e+02,8.4385e-16,7.8000e-01,2.4440e-01,1.3540e-03
6.5000e+02,6.5000e+02,4.7014e-16,1.4000e+00,1.7730e-01,1.1150e-03
6.5000e+02,6.4000e+02,4.7014e-16,1.4000e+00,1.7550e-01,1.1070e-03
6.5000e+02,6.5000e+02,2.5315e-16,2.6000e+00,1.1220e-01,8.5940e-04
6.5000e+02,6.4000e+02,2.5315e-16,2.6000e+00,1.1110e-01,8.5330e-04
6.5000e+02,6.5000e+02,1.3713e-16,4.8000e+00,6.3570e-02,6.2930e-04
6.5000e+02,6.4000e+02,1.3713e-16,4.8000e+00,6.3030e-02,6.2590e-04
2.5000e+02,2.5000e+02,3.1343e-14,2.1000e-02,2.9790e-02,5.5190e-04
6.5000e+02,6.5000e+02,7.3955e-17,8.9000e+00,3.2490e-02,4.3490e-04
6.5000e+02,6.4000e+02,7.3955e-17,8.9000e+00,3.1680e-02,4.3030e-04
6.5000e+02,6.5000e+02,4.1138e-17,1.6000e+01,1.5800e-02,2.9190e-04
6.5000e+02,6.4000e+02,4.1138e-17,1.6000e+01,1.5660e-02,2.9240e-04
6.5000e+02,6.5000e+02,2.1940e-17,3.0000e+01,6.9870e-03,1.7980e-04
2.5000e+02,2.4000e+02,3.1343e-14,2.1000e-02,2.7840e-02,5.3190e-04
6.5000e+02,6.4000e+02,2.1940e-17,3.0000e+01,6.9620e-03,1.8220e-04
6.5000e+02,6.5000e+02,1.1967e-17,5.5000e+01,3.2400e-03,1.1530e-04
6.5000e+02,6.4000e+02,1.1967e-17,5.5000e+01,3.2890e-03,1.1600e-04
6.5000e+02,6.5000e+02,6.5820e-18,1.0000e+02,1.6310e-03,7.6010e-05
6.5000e+02,6.4000e+02,6.5820e-18,1.0000e+02,1.7190e-03,7.7720e-05
8.5000e+02,8.5000e+02,6.5820e-13,1.0000e-03,0.0000e+00,0.0000e+00
8.5000e+02,8.4000e+02,6.5820e-13,1.0000e-03,0.0000e+00,0.0000e+00
8.5000e+02,8.5000e+02,3.6567e-13,1.8000e-03,5.2240e-05,1.3880e-05
8.5000e+02,8.4000e+02,3.6567e-13,1.8000e-03,2.2280e-05,7.6440e-06
8.5000e+02,8.5000e+02,1.9359e-13,3.4000e-03,1.7710e-03,8.8920e-05
8.5000e+02,8.4000e+02,1.9359e-13,3.4000e-03,1.6890e-03,8.6070e-05
8.5000e+02,8.5000e+02,1.0616e-13,6.2000e-03,1.6310e-02,2.9420e-04
8.5000e+02,8.4000e+02,1.0616e-13,6.2000e-03,1.6720e-02,2.9830e-04
8.5000e+02,8.5000e+02,5.9836e-14,1.1000e-02,6.3650e-02,6.2030e-04
8.5000e+02,8.4000e+02,5.9836e-14,1.1000e-02,6.4690e-02,6.2730e-04
2.5000e+02,2.5000e+02,1.7321e-14,3.8000e-02,3.2140e-02,5.7020e-04
8.5000e+02,8.5000e+02,3.1343e-14,2.1000e-02,1.6070e-01,1.0350e-03
8.5000e+02,8.4000e+02,3.1343e-14,2.1000e-02,1.6270e-01,1.0450e-03
8.5000e+02,8.5000e+02,1.7321e-14,3.8000e-02,2.5600e-01,1.3440e-03
8.5000e+02,8.4000e+02,1.7321e-14,3.8000e-02,2.5790e-01,1.3530e-03
8.5000e+02,8.5000e+02,9.4029e-15,7.0000e-02,3.2170e-01,1.5280e-03
2.5000e+02,2.4000e+02,1.7321e-14,3.8000e-02,2.9460e-02,5.4470e-04
8.5000e+02,8.4000e+02,9.4029e-15,7.0000e-02,3.2520e-01,1.5430e-03
8.5000e+02,8.5000e+02,5.0631e-15,1.3000e-01,3.4510e-01,1.5830e-03
8.5000e+02,8.4000e+02,5.0631e-15,1.3000e-01,3.4750e-01,1.5940e-03
8.5000e+02,8.5000e+02,2.8617e-15,2.3000e-01,3.3340e-01,1.5380e-03
8.5000e+02,8.4000e+02,2.8617e-15,2.3000e-01,3.3610e-01,1.5490e-03
8.5000e+02,8.5000e+02,1.5307e-15,4.3000e-01,2.9440e-01,1.4080e-03
8.5000e+02,8.4000e+02,1.5307e-15,4.3000e-01,2.9700e-01,1.4190e-03
8.5000e+02,8.5000e+02,8.4385e-16,7.8000e-01,2.3860e-01,1.2280e-03
8.5000e+02,8.4000e+02,8.4385e-16,7.8000e-01,2.4130e-01,1.2400e-03
8.5000e+02,8.5000e+02,4.7014e-16,1.4000e+00,1.7820e-01,1.0260e-03
8.5000e+02,8.4000e+02,4.7014e-16,1.4000e+00,1.7970e-01,1.0350e-03
8.5000e+02,8.5000e+02,2.5315e-16,2.6000e+00,1.1870e-01,8.1260e-04
8.5000e+02,8.4000e+02,2.5315e-16,2.6000e+00,1.1880e-01,8.1390e-04
8.5000e+02,8.5000e+02,1.3713e-16,4.8000e+00,7.0880e-02,6.0890e-04
8.5000e+02,8.4000e+02,1.3713e-16,4.8000e+00,7.1650e-02,6.1340e-04
2.5000e+02,2.5000e+02,9.4029e-15,7.0000e-02,3.1120e-02,5.5270e-04
8.5000e+02,8.5000e+02,7.3955e-17,8.9000e+00,3.8320e-02,4.3150e-04
8.5000e+02,8.4000e+02,7.3955e-17,8.9000e+00,3.8160e-02,4.3100e-04
8.5000e+02,8.5000e+02,4.1138e-17,1.6000e+01,1.9800e-02,2.9410e-04
8.5000e+02,8.4000e+02,4.1138e-17,1.6000e+01,1.9820e-02,2.9630e-04
8.5000e+02,8.5000e+02,2.1940e-17,3.0000e+01,9.6690e-03,1.9570e-04
2.5000e+02,2.4000e+02,9.4029e-15,7.0000e-02,2.8440e-02,5.2580e-04
8.5000e+02,8.4000e+02,2.1940e-17,3.0000e+01,9.4400e-03,1.9200e-04
8.5000e+02,8.5000e+02,1.1967e-17,5.5000e+01,4.6310e-03,1.2760e-04
8.5000e+02,8.4000e+02,1.1967e-17,5.5000e+01,4.6180e-03,1.2520e-04
8.5000e+02,8.5000e+02,6.5820e-18,1.0000e+02,2.3220e-03,8.2770e-05
8.5000e+02,8.4000e+02,6.5820e-18,1.0000e+02,2.3050e-03,8.1720e-05
1.0500e+03,1.0500e+03,6.5820e-13,1.0000e-03,0.0000e+00,0.0000e+00
1.0500e+03,1.0400e+03,6.5820e-13,1.0000e-03,0.0000e+00,0.0000e+00
1.0500e+03,1.0500e+03,3.6567e-13,1.8000e-03,7.8220e-06,4.1470e-06
1.0500e+03,1.0400e+03,3.6567e-13,1.8000e-03,8.2570e-06,6.5880e-06
1.0500e+03,1.0500e+03,1.9359e-13,3.4000e-03,4.5920e-04,3.8040e-05
1.0500e+03,1.0400e+03,1.9359e-13,3.4000e-03,4.7860e-04,3.8930e-05
1.0500e+03,1.0500e+03,1.0616e-13,6.2000e-03,6.2830e-03,1.5440e-04
1.0500e+03,1.0400e+03,1.0616e-13,6.2000e-03,6.6750e-03,1.6010e-04
1.0500e+03,1.0500e+03,5.9836e-14,1.1000e-02,3.1370e-02,3.7030e-04
1.0500e+03,1.0400e+03,5.9836e-14,1.1000e-02,3.1820e-02,3.7500e-04
2.5000e+02,2.5000e+02,5.0631e-15,1.3000e-01,2.7410e-02,5.0230e-04
1.0500e+03,1.0500e+03,3.1343e-14,2.1000e-02,9.0980e-02,6.6740e-04
1.0500e+03,1.0400e+03,3.1343e-14,2.1000e-02,9.1810e-02,6.7240e-04
1.0500e+03,1.0500e+03,1.7321e-14,3.8000e-02,1.5720e-01,9.0740e-04
1.0500e+03,1.0400e+03,1.7321e-14,3.8000e-02,1.5950e-01,9.1810e-04
1.0500e+03,1.0500e+03,9.4029e-15,7.0000e-02,2.0930e-01,1.0690e-03
2.5000e+02,2.4000e+02,5.0631e-15,1.3000e-01,2.5260e-02,4.7910e-04
1.0500e+03,1.0400e+03,9.4029e-15,7.0000e-02,2.1160e-01,1.0800e-03
1.0500e+03,1.0500e+03,5.0631e-15,1.3000e-01,2.3190e-01,1.1320e-03
1.0500e+03,1.0400e+03,5.0631e-15,1.3000e-01,2.3400e-01,1.1440e-03
1.0500e+03,1.0500e+03,2.8617e-15,2.3000e-01,2.2900e-01,1.1160e-03
1.0500e+03,1.0400e+03,2.8617e-15,2.3000e-01,2.3000e-01,1.1230e-03
1.0500e+03,1.0500e+03,1.5307e-15,4.3000e-01,2.0670e-01,1.0370e-03
1.0500e+03,1.0400e+03,1.5307e-15,4.3000e-01,2.0820e-01,1.0460e-03
1.0500e+03,1.0500e+03,8.4385e-16,7.8000e-01,1.7160e-01,9.1700e-04
1.0500e+03,1.0400e+03,8.4385e-16,7.8000e-01,1.7280e-01,9.2440e-04
1.0500e+03,1.0500e+03,4.7014e-16,1.4000e+00,1.3120e-01,7.7700e-04
1.0500e+03,1.0400e+03,4.7014e-16,1.4000e+00,1.3200e-01,7.8380e-04
1.0500e+03,1.0500e+03,2.5315e-16,2.6000e+00,8.9890e-02,6.2120e-04
1.0500e+03,1.0400e+03,2.5315e-16,2.6000e+00,9.0090e-02,6.2320e-04
1.0500e+03,1.0500e+03,1.3713e-16,4.8000e+00,5.7250e-02,4.8120e-04
