#Efficiencies for the Trackless SR obtained with recasting for the EWK model:
# (pp > N1N2) using a higgsino scenario.
  mN2_GeV,   mN1_GeV, width_GeV, tau_ns,     Eff,       EffErr
1.6500e+03,1.6500e+03,8.4385e-16,7.8000e-01,2.0280e-02,2.5100e-04
1.6500e+03,1.6400e+03,8.4385e-16,7.8000e-01,2.0090e-02,2.4780e-04
1.6500e+03,1.6500e+03,4.7014e-16,1.4000e+00,1.6500e-02,2.1960e-04
1.6500e+03,1.6400e+03,4.7014e-16,1.4000e+00,1.6450e-02,2.1850e-04
1.6500e+03,1.6500e+03,2.5315e-16,2.6000e+00,1.1910e-02,1.7930e-04
1.6500e+03,1.6400e+03,2.5315e-16,2.6000e+00,1.2000e-02,1.7990e-04
1.6500e+03,1.6500e+03,1.3713e-16,4.8000e+00,7.9650e-03,1.4130e-04
1.6500e+03,1.6400e+03,1.3713e-16,4.8000e+00,8.2990e-03,1.4740e-04
2.5000e+02,2.5000e+02,7.3955e-17,8.9000e+00,6.0290e-04,5.3990e-05
1.6500e+03,1.6500e+03,7.3955e-17,8.9000e+00,5.2040e-03,1.1250e-04
1.6500e+03,1.6400e+03,7.3955e-17,8.9000e+00,5.4340e-03,1.1760e-04
1.6500e+03,1.6500e+03,4.1138e-17,1.6000e+01,3.2850e-03,8.9060e-05
1.6500e+03,1.6400e+03,4.1138e-17,1.6000e+01,3.5020e-03,9.3200e-05
1.6500e+03,1.6500e+03,2.1940e-17,3.0000e+01,1.8570e-03,6.6680e-05
2.5000e+02,2.4000e+02,7.3955e-17,8.9000e+00,5.0650e-04,5.0040e-05
1.6500e+03,1.6400e+03,2.1940e-17,3.0000e+01,1.9340e-03,6.6220e-05
1.6500e+03,1.6500e+03,1.1967e-17,5.5000e+01,1.0550e-03,4.8730e-05
1.6500e+03,1.6400e+03,1.1967e-17,5.5000e+01,1.1540e-03,5.1880e-05
1.6500e+03,1.6500e+03,6.5820e-18,1.0000e+02,6.1380e-04,3.7610e-05
1.6500e+03,1.6400e+03,6.5820e-18,1.0000e+02,6.0630e-04,3.6160e-05
1.8500e+03,1.8500e+03,6.5820e-13,1.0000e-03,0.0000e+00,0.0000e+00
1.8500e+03,1.8400e+03,6.5820e-13,1.0000e-03,0.0000e+00,0.0000e+00
1.8500e+03,1.8500e+03,3.6567e-13,1.8000e-03,0.0000e+00,0.0000e+00
1.8500e+03,1.8400e+03,3.6567e-13,1.8000e-03,0.0000e+00,0.0000e+00
1.8500e+03,1.8500e+03,1.9359e-13,3.4000e-03,0.0000e+00,0.0000e+00
1.8500e+03,1.8400e+03,1.9359e-13,3.4000e-03,0.0000e+00,0.0000e+00
1.8500e+03,1.8500e+03,1.0616e-13,6.2000e-03,2.3150e-05,7.3870e-06
1.8500e+03,1.8400e+03,1.0616e-13,6.2000e-03,3.4890e-05,9.9040e-06
1.8500e+03,1.8500e+03,5.9836e-14,1.1000e-02,2.5430e-04,2.4730e-05
1.8500e+03,1.8400e+03,5.9836e-14,1.1000e-02,3.0250e-04,2.7860e-05
2.5000e+02,2.5000e+02,4.1138e-17,1.6000e+01,2.5730e-04,3.0700e-05
1.8500e+03,1.8500e+03,3.1343e-14,2.1000e-02,1.5010e-03,6.6270e-05
1.8500e+03,1.8400e+03,3.1343e-14,2.1000e-02,1.6930e-03,7.1740e-05
1.8500e+03,1.8500e+03,1.7321e-14,3.8000e-02,3.9770e-03,1.1080e-04
1.8500e+03,1.8400e+03,1.7321e-14,3.8000e-02,4.2550e-03,1.1670e-04
1.8500e+03,1.8500e+03,9.4029e-15,7.0000e-02,6.8500e-03,1.4820e-04
2.5000e+02,2.4000e+02,4.1138e-17,1.6000e+01,2.1030e-04,2.8550e-05
1.8500e+03,1.8400e+03,9.4029e-15,7.0000e-02,7.2480e-03,1.5570e-04
1.8500e+03,1.8500e+03,5.0631e-15,1.3000e-01,8.9860e-03,1.7180e-04
1.8500e+03,1.8400e+03,5.0631e-15,1.3000e-01,9.2150e-03,1.7530e-04
1.8500e+03,1.8500e+03,2.8617e-15,2.3000e-01,9.9230e-03,1.8040e-04
1.8500e+03,1.8400e+03,2.8617e-15,2.3000e-01,1.0190e-02,1.8440e-04
1.8500e+03,1.8500e+03,1.5307e-15,4.3000e-01,9.7350e-03,1.7750e-04
1.8500e+03,1.8400e+03,1.5307e-15,4.3000e-01,9.7550e-03,1.7590e-04
1.8500e+03,1.8500e+03,8.4385e-16,7.8000e-01,8.8310e-03,1.6490e-04
1.8500e+03,1.8400e+03,8.4385e-16,7.8000e-01,8.7270e-03,1.6290e-04
1.8500e+03,1.8500e+03,4.7014e-16,1.4000e+00,7.2280e-03,1.4420e-04
1.8500e+03,1.8400e+03,4.7014e-16,1.4000e+00,7.1390e-03,1.4260e-04
1.8500e+03,1.8500e+03,2.5315e-16,2.6000e+00,5.2120e-03,1.1610e-04
1.8500e+03,1.8400e+03,2.5315e-16,2.6000e+00,5.2530e-03,1.1870e-04
1.8500e+03,1.8500e+03,1.3713e-16,4.8000e+00,3.6230e-03,9.2860e-05
1.8500e+03,1.8400e+03,1.3713e-16,4.8000e+00,3.5680e-03,9.5060e-05
2.5000e+02,2.5000e+02,2.1940e-17,3.0000e+01,9.4210e-05,1.4830e-05
1.8500e+03,1.8500e+03,7.3955e-17,8.9000e+00,2.2710e-03,7.1560e-05
1.8500e+03,1.8400e+03,7.3955e-17,8.9000e+00,2.3750e-03,7.5740e-05
1.8500e+03,1.8500e+03,4.1138e-17,1.6000e+01,1.4640e-03,5.7310e-05
1.8500e+03,1.8400e+03,4.1138e-17,1.6000e+01,1.5210e-03,6.0230e-05
1.8500e+03,1.8500e+03,2.1940e-17,3.0000e+01,8.7740e-04,4.4580e-05
2.5000e+02,2.4000e+02,2.1940e-17,3.0000e+01,9.4070e-05,2.0090e-05
1.8500e+03,1.8400e+03,2.1940e-17,3.0000e+01,9.0010e-04,4.4150e-05
1.8500e+03,1.8500e+03,1.1967e-17,5.5000e+01,4.9770e-04,3.2550e-05
1.8500e+03,1.8400e+03,1.1967e-17,5.5000e+01,5.1520e-04,3.4090e-05
1.8500e+03,1.8500e+03,6.5820e-18,1.0000e+02,2.9000e-04,2.5690e-05
1.8500e+03,1.8400e+03,6.5820e-18,1.0000e+02,2.8460e-04,2.4000e-05
2.5000e+02,2.5000e+02,1.1967e-17,5.5000e+01,5.2330e-05,1.4220e-05
2.5000e+02,2.4000e+02,1.1967e-17,5.5000e+01,5.2940e-05,1.7930e-05
2.5000e+02,2.5000e+02,6.5820e-18,1.0000e+02,1.7150e-05,4.1910e-06
2.5000e+02,2.4000e+02,6.5820e-18,1.0000e+02,2.2680e-05,6.4810e-06
4.5000e+02,4.5000e+02,6.5820e-13,1.0000e-03,1.3440e-05,9.5290e-06
4.5000e+02,4.4000e+02,6.5820e-13,1.0000e-03,2.3050e-05,1.1920e-05
4.5000e+02,4.5000e+02,3.6567e-13,1.8000e-03,6.4970e-04,6.5890e-05
4.5000e+02,4.4000e+02,3.6567e-13,1.8000e-03,6.9300e-04,6.7340e-05
4.5000e+02,4.5000e+02,1.9359e-13,3.4000e-03,8.1340e-03,2.5290e-04
4.5000e+02,4.4000e+02,1.9359e-13,3.4000e-03,7.6060e-03,2.4300e-04
4.5000e+02,4.5000e+02,1.0616e-13,6.2000e-03,3.5510e-02,5.5530e-04
4.5000e+02,4.4000e+02,1.0616e-13,6.2000e-03,3.5110e-02,5.5330e-04
4.5000e+02,4.5000e+02,5.9836e-14,1.1000e-02,8.8630e-02,9.0660e-04
4.5000e+02,4.4000e+02,5.9836e-14,1.1000e-02,8.5440e-02,8.9180e-04
