#Efficiencies for the Trackless SR obtained with recasting for the Strong model:
# (pp > Gluino Gluino, Gluino > q,q,N1).
  mN1_GeV, mGluino_GeV, width_GeV, tau_ns,     Eff,       EffErr
4.5000e+02,7.5000e+02,3.9413e-16,1.6700e+00,1.6280e-01,1.6810e-03
4.5000e+02,7.5000e+02,1.6132e-16,4.0800e+00,7.6610e-02,1.0890e-03
5.0000e+01,1.0000e+03,5.7737e-15,1.1400e-01,5.6630e-02,6.1850e-04
4.5000e+02,7.5000e+02,6.5820e-17,1.0000e+01,2.8100e-02,6.1240e-04
4.5000e+02,1.0000e+03,2.0829e-13,3.1600e-03,4.7460e-03,2.4320e-04
4.5000e+02,1.0000e+03,8.5039e-14,7.7400e-03,4.8110e-02,8.2960e-04
4.5000e+02,1.0000e+03,3.4642e-14,1.9000e-02,1.5000e-01,1.5340e-03
4.5000e+02,1.0000e+03,1.4185e-14,4.6400e-02,2.2640e-01,1.9180e-03
4.5000e+02,1.0000e+03,5.7737e-15,1.1400e-01,2.3920e-01,1.9560e-03
4.5000e+02,1.0000e+03,2.3676e-15,2.7800e-01,2.0940e-01,1.7670e-03
4.5000e+02,1.0000e+03,9.6652e-16,6.8100e-01,1.5200e-01,1.4220e-03
4.5000e+02,1.0000e+03,3.9413e-16,1.6700e+00,8.9670e-02,1.0250e-03
4.5000e+02,1.0000e+03,1.6132e-16,4.0800e+00,4.3640e-02,6.7100e-04
5.0000e+01,1.0000e+03,2.3676e-15,2.7800e-01,2.9990e-02,4.1460e-04
4.5000e+02,1.0000e+03,6.5820e-17,1.0000e+01,1.7700e-02,3.9720e-04
4.5000e+02,1.2500e+03,2.0829e-13,3.1600e-03,3.0800e-03,1.6860e-04
4.5000e+02,1.2500e+03,8.5039e-14,7.7400e-03,2.8700e-02,5.3550e-04
4.5000e+02,1.2500e+03,3.4642e-14,1.9000e-02,7.6120e-02,9.0220e-04
4.5000e+02,1.2500e+03,1.4185e-14,4.6400e-02,1.0630e-01,1.0830e-03
4.5000e+02,1.2500e+03,5.7737e-15,1.1400e-01,1.0810e-01,1.0750e-03
4.5000e+02,1.2500e+03,2.3676e-15,2.7800e-01,9.1170e-02,9.4420e-04
4.5000e+02,1.2500e+03,9.6652e-16,6.8100e-01,6.4570e-02,7.5300e-04
4.5000e+02,1.2500e+03,3.9413e-16,1.6700e+00,3.7950e-02,5.4840e-04
4.5000e+02,1.2500e+03,1.6132e-16,4.0800e+00,1.9500e-02,3.7860e-04
5.0000e+01,1.0000e+03,9.6652e-16,6.8100e-01,1.3350e-02,2.5650e-04
4.5000e+02,1.2500e+03,6.5820e-17,1.0000e+01,8.4130e-03,2.3280e-04
4.5000e+02,1.5000e+03,2.0829e-13,3.1600e-03,1.1920e-03,9.2510e-05
4.5000e+02,1.5000e+03,8.5039e-14,7.7400e-03,1.0070e-02,2.8390e-04
4.5000e+02,1.5000e+03,3.4642e-14,1.9000e-02,2.5190e-02,4.6370e-04
4.5000e+02,1.5000e+03,1.4185e-14,4.6400e-02,3.3640e-02,5.4180e-04
4.5000e+02,1.5000e+03,5.7737e-15,1.1400e-01,3.3640e-02,5.3430e-04
4.5000e+02,1.5000e+03,2.3676e-15,2.7800e-01,2.8230e-02,4.6890e-04
4.5000e+02,1.5000e+03,9.6652e-16,6.8100e-01,1.9260e-02,3.6500e-04
4.5000e+02,1.5000e+03,3.9413e-16,1.6700e+00,1.1810e-02,2.7800e-04
4.5000e+02,1.5000e+03,1.6132e-16,4.0800e+00,6.6240e-03,2.0780e-04
5.0000e+01,1.0000e+03,3.9413e-16,1.6700e+00,5.0800e-03,1.4290e-04
4.5000e+02,1.5000e+03,6.5820e-17,1.0000e+01,3.1520e-03,1.4150e-04
4.5000e+02,1.7000e+03,2.0829e-13,3.1600e-03,4.2410e-04,5.3080e-05
4.5000e+02,1.7000e+03,8.5039e-14,7.7400e-03,3.4560e-03,1.6180e-04
4.5000e+02,1.7000e+03,3.4642e-14,1.9000e-02,8.6860e-03,2.6650e-04
4.5000e+02,1.7000e+03,1.4185e-14,4.6400e-02,1.1720e-02,3.1160e-04
4.5000e+02,1.7000e+03,5.7737e-15,1.1400e-01,1.1700e-02,3.0780e-04
4.5000e+02,1.7000e+03,2.3676e-15,2.7800e-01,1.0100e-02,2.7430e-04
4.5000e+02,1.7000e+03,9.6652e-16,6.8100e-01,6.9100e-03,2.1430e-04
4.5000e+02,1.7000e+03,3.9413e-16,1.6700e+00,4.1830e-03,1.6420e-04
4.5000e+02,1.7000e+03,1.6132e-16,4.0800e+00,2.3480e-03,1.2190e-04
5.0000e+01,1.0000e+03,1.6132e-16,4.0800e+00,1.8830e-03,8.2060e-05
4.5000e+02,1.7000e+03,6.5820e-17,1.0000e+01,1.0610e-03,7.7660e-05
4.5000e+02,1.9000e+03,2.0829e-13,3.1600e-03,1.4360e-04,3.0800e-05
4.5000e+02,1.9000e+03,8.5039e-14,7.7400e-03,1.2800e-03,9.9220e-05
4.5000e+02,1.9000e+03,3.4642e-14,1.9000e-02,3.6310e-03,1.7170e-04
4.5000e+02,1.9000e+03,1.4185e-14,4.6400e-02,4.7200e-03,1.9750e-04
4.5000e+02,1.9000e+03,5.7737e-15,1.1400e-01,4.4780e-03,1.8730e-04
4.5000e+02,1.9000e+03,2.3676e-15,2.7800e-01,3.7290e-03,1.6430e-04
4.5000e+02,1.9000e+03,9.6652e-16,6.8100e-01,2.6800e-03,1.3270e-04
4.5000e+02,1.9000e+03,3.9413e-16,1.6700e+00,1.5610e-03,9.8780e-05
4.5000e+02,1.9000e+03,1.6132e-16,4.0800e+00,7.3230e-04,6.1440e-05
5.0000e+01,1.0000e+03,6.5820e-17,1.0000e+01,6.5150e-04,4.4360e-05
4.5000e+02,1.9000e+03,6.5820e-17,1.0000e+01,3.6660e-04,4.7100e-05
4.5000e+02,2.1000e+03,2.0829e-13,3.1600e-03,6.5920e-05,2.2100e-05
4.5000e+02,2.1000e+03,8.5039e-14,7.7400e-03,5.0200e-04,5.9160e-05
4.5000e+02,2.1000e+03,3.4642e-14,1.9000e-02,1.1950e-03,9.5620e-05
4.5000e+02,2.1000e+03,1.4185e-14,4.6400e-02,1.6140e-03,1.1170e-04
4.5000e+02,2.1000e+03,5.7737e-15,1.1400e-01,1.6630e-03,1.1290e-04
4.5000e+02,2.1000e+03,2.3676e-15,2.7800e-01,1.3300e-03,9.6580e-05
4.5000e+02,2.1000e+03,9.6652e-16,6.8100e-01,9.4720e-04,7.6180e-05
4.5000e+02,2.1000e+03,3.9413e-16,1.6700e+00,4.9710e-04,5.0080e-05
4.5000e+02,2.1000e+03,1.6132e-16,4.0800e+00,2.4220e-04,3.5520e-05
5.0000e+01,1.2500e+03,2.0829e-13,3.1600e-03,4.1110e-02,5.1870e-04
4.5000e+02,2.1000e+03,6.5820e-17,1.0000e+01,1.3720e-04,2.7040e-05
4.5000e+02,2.3000e+03,2.0829e-13,3.1600e-03,3.5000e-05,1.7360e-05
4.5000e+02,2.3000e+03,8.5039e-14,7.7400e-03,2.2200e-04,3.9400e-05
4.5000e+02,2.3000e+03,3.4642e-14,1.9000e-02,5.4090e-04,6.4200e-05
4.5000e+02,2.3000e+03,1.4185e-14,4.6400e-02,8.0390e-04,8.0800e-05
4.5000e+02,2.3000e+03,5.7737e-15,1.1400e-01,8.3800e-04,8.4240e-05
4.5000e+02,2.3000e+03,2.3676e-15,2.7800e-01,6.8120e-04,7.2170e-05
4.5000e+02,2.3000e+03,9.6652e-16,6.8100e-01,4.6580e-04,5.7110e-05
4.5000e+02,2.3000e+03,3.9413e-16,1.6700e+00,2.4540e-04,3.6810e-05
4.5000e+02,2.3000e+03,1.6132e-16,4.0800e+00,1.4390e-04,2.8100e-05
5.0000e+01,1.2500e+03,8.5039e-14,7.7400e-03,5.2730e-02,6.0250e-04
4.5000e+02,2.3000e+03,6.5820e-17,1.0000e+01,8.5170e-05,2.4500e-05
4.5000e+02,2.5000e+03,2.0829e-13,3.1600e-03,7.4590e-06,5.4690e-06
4.5000e+02,2.5000e+03,8.5039e-14,7.7400e-03,8.6990e-05,2.4220e-05
4.5000e+02,2.5000e+03,3.4642e-14,1.9000e-02,2.4590e-04,4.7390e-05
4.5000e+02,2.5000e+03,1.4185e-14,4.6400e-02,3.2690e-04,5.5990e-05
4.5000e+02,2.5000e+03,5.7737e-15,1.1400e-01,3.6570e-04,5.7450e-05
4.5000e+02,2.5000e+03,2.3676e-15,2.7800e-01,2.9820e-04,4.9440e-05
4.5000e+02,2.5000e+03,9.6652e-16,6.8100e-01,2.0100e-04,3.8060e-05
4.5000e+02,2.5000e+03,3.9413e-16,1.6700e+00,1.1890e-04,2.6670e-05
4.5000e+02,2.5000e+03,1.6132e-16,4.0800e+00,6.1180e-05,1.9920e-05
5.0000e+01,1.2500e+03,3.4642e-14,1.9000e-02,5.0760e-02,5.7830e-04
4.5000e+02,2.5000e+03,6.5820e-17,1.0000e+01,2.9420e-05,1.3720e-05
4.5000e+02,2.7000e+03,2.0829e-13,3.1600e-03,1.0090e-05,7.7770e-06
4.5000e+02,2.7000e+03,8.5039e-14,7.7400e-03,2.9360e-05,1.5730e-05
4.5000e+02,2.7000e+03,3.4642e-14,1.9000e-02,1.4290e-04,3.6260e-05
4.5000e+02,2.7000e+03,1.4185e-14,4.6400e-02,2.0380e-04,4.2630e-05
4.5000e+02,2.7000e+03,5.7737e-15,1.1400e-01,2.2590e-04,4.4160e-05
4.5000e+02,2.7000e+03,2.3676e-15,2.7800e-01,1.4340e-04,3.2180e-05
4.5000e+02,2.7000e+03,9.6652e-16,6.8100e-01,1.2370e-04,2.9070e-05
4.5000e+02,2.7000e+03,3.9413e-16,1.6700e+00,6.9360e-05,1.9540e-05
4.5000e+02,2.7000e+03,1.6132e-16,4.0800e+00,4.3820e-05,1.7920e-05
5.0000e+01,1.2500e+03,1.4185e-14,4.6400e-02,3.9760e-02,4.8590e-04
4.5000e+02,2.7000e+03,6.5820e-17,1.0000e+01,1.5810e-05,1.0570e-05
4.5000e+02,2.9000e+03,2.0829e-13,3.1600e-03,1.6040e-05,1.1390e-05
4.5000e+02,2.9000e+03,8.5039e-14,7.7400e-03,3.2010e-05,1.5700e-05
4.5000e+02,2.9000e+03,3.4642e-14,1.9000e-02,9.0600e-05,2.7820e-05
4.5000e+02,2.9000e+03,1.4185e-14,4.6400e-02,1.0910e-04,2.9310e-05
4.5000e+02,2.9000e+03,5.7737e-15,1.1400e-01,1.2010e-04,2.9010e-05
4.5000e+02,2.9000e+03,2.3676e-15,2.7800e-01,9.3200e-05,2.3200e-05
4.5000e+02,2.9000e+03,9.6652e-16,6.8100e-01,8.0640e-05,2.1450e-05
4.5000e+02,2.9000e+03,3.9413e-16,1.6700e+00,4.1650e-05,1.5710e-05
4.5000e+02,2.9000e+03,1.6132e-16,4.0800e+00,3.1560e-05,1.5270e-05
5.0000e+01,1.2500e+03,5.7737e-15,1.1400e-01,2.5140e-02,3.5860e-04
4.5000e+02,2.9000e+03,6.5820e-17,1.0000e+01,1.5020e-06,1.3450e-06
6.5000e+02,7.5000e+02,2.0829e-13,3.1600e-03,2.0420e-03,1.7750e-04
6.5000e+02,7.5000e+02,8.5039e-14,7.7400e-03,3.9010e-02,8.6380e-04
6.5000e+02,7.5000e+02,3.4642e-14,1.9000e-02,1.7390e-01,1.9490e-03
6.5000e+02,7.5000e+02,1.4185e-14,4.6400e-02,3.2890e-01,2.7740e-03
6.5000e+02,7.5000e+02,5.7737e-15,1.1400e-01,3.8640e-01,3.0180e-03
6.5000e+02,7.5000e+02,2.3676e-15,2.7800e-01,3.5720e-01,2.8280e-03
6.5000e+02,7.5000e+02,9.6652e-16,6.8100e-01,2.7420e-01,2.3660e-03
6.5000e+02,7.5000e+02,3.9413e-16,1.6700e+00,1.6870e-01,1.7510e-03
6.5000e+02,7.5000e+02,1.6132e-16,4.0800e+00,8.3260e-02,1.1690e-03
5.0000e+01,1.2500e+03,2.3676e-15,2.7800e-01,1.3540e-02,2.4390e-04
6.5000e+02,7.5000e+02,6.5820e-17,1.0000e+01,3.3240e-02,7.0520e-04
6.5000e+02,1.0000e+03,2.0829e-13,3.1600e-03,1.2420e-03,1.1060e-04
6.5000e+02,1.0000e+03,8.5039e-14,7.7400e-03,2.3900e-02,5.7090e-04
6.5000e+02,1.0000e+03,3.4642e-14,1.9000e-02,1.1400e-01,1.3320e-03
6.5000e+02,1.0000e+03,1.4185e-14,4.6400e-02,2.1200e-01,1.8700e-03
6.5000e+02,1.0000e+03,5.7737e-15,1.1400e-01,2.4770e-01,2.0310e-03
6.5000e+02,1.0000e+03,2.3676e-15,2.7800e-01,2.3090e-01,1.9170e-03
6.5000e+02,1.0000e+03,9.6652e-16,6.8100e-01,1.7770e-01,1.6010e-03
6.5000e+02,1.0000e+03,3.9413e-16,1.6700e+00,1.1330e-01,1.2130e-03
6.5000e+02,1.0000e+03,1.6132e-16,4.0800e+00,5.9550e-02,8.3660e-04
5.0000e+01,1.2500e+03,9.6652e-16,6.8100e-01,6.5110e-03,1.6030e-04
6.5000e+02,1.0000e+03,6.5820e-17,1.0000e+01,2.5790e-02,5.1330e-04
6.5000e+02,1.2500e+03,2.0829e-13,3.1600e-03,7.4720e-04,7.8200e-05
6.5000e+02,1.2500e+03,8.5039e-14,7.7400e-03,1.4160e-02,3.7100e-04
6.5000e+02,1.2500e+03,3.4642e-14,1.9000e-02,5.7630e-02,7.8000e-04
6.5000e+02,1.2500e+03,1.4185e-14,4.6400e-02,9.8750e-02,1.0380e-03
6.5000e+02,1.2500e+03,5.7737e-15,1.1400e-01,1.1210e-01,1.1070e-03
6.5000e+02,1.2500e+03,2.3676e-15,2.7800e-01,1.0280e-01,1.0310e-03
6.5000e+02,1.2500e+03,9.6652e-16,6.8100e-01,7.7890e-02,8.4670e-04
6.5000e+02,1.2500e+03,3.9413e-16,1.6700e+00,4.8810e-02,6.2960e-04
6.5000e+02,1.2500e+03,1.6132e-16,4.0800e+00,2.6330e-02,4.3970e-04
5.0000e+01,1.2500e+03,3.9413e-16,1.6700e+00,2.7420e-03,1.0140e-04
6.5000e+02,1.2500e+03,6.5820e-17,1.0000e+01,1.2540e-02,2.9460e-04
6.5000e+02,1.5000e+03,2.0829e-13,3.1600e-03,2.5610e-04,4.2380e-05
6.5000e+02,1.5000e+03,8.5039e-14,7.7400e-03,4.3980e-03,1.8450e-04
6.5000e+02,1.5000e+03,3.4642e-14,1.9000e-02,1.7420e-02,3.7530e-04
6.5000e+02,1.5000e+03,1.4185e-14,4.6400e-02,2.9250e-02,4.9590e-04
6.5000e+02,1.5000e+03,5.7737e-15,1.1400e-01,3.2510e-02,5.1880e-04
6.5000e+02,1.5000e+03,2.3676e-15,2.7800e-01,2.9210e-02,4.7570e-04
6.5000e+02,1.5000e+03,9.6652e-16,6.8100e-01,2.2430e-02,3.9830e-04
6.5000e+02,1.5000e+03,3.9413e-16,1.6700e+00,1.4330e-02,3.0400e-04
6.5000e+02,1.5000e+03,1.6132e-16,4.0800e+00,8.2990e-03,2.3030e-04
5.0000e+01,1.2500e+03,1.6132e-16,4.0800e+00,1.0070e-03,5.8270e-05
6.5000e+02,1.5000e+03,6.5820e-17,1.0000e+01,4.1200e-03,1.5740e-04
6.5000e+02,1.7000e+03,2.0829e-13,3.1600e-03,1.0850e-04,2.7440e-05
6.5000e+02,1.7000e+03,8.5039e-14,7.7400e-03,1.5430e-03,1.0380e-04
6.5000e+02,1.7000e+03,3.4642e-14,1.9000e-02,5.4740e-03,2.0060e-04
6.5000e+02,1.7000e+03,1.4185e-14,4.6400e-02,9.4400e-03,2.7370e-04
6.5000e+02,1.7000e+03,5.7737e-15,1.1400e-01,1.0490e-02,2.8650e-04
6.5000e+02,1.7000e+03,2.3676e-15,2.7800e-01,9.5060e-03,2.6640e-04
6.5000e+02,1.7000e+03,9.6652e-16,6.8100e-01,7.1000e-03,2.2030e-04
6.5000e+02,1.7000e+03,3.9413e-16,1.6700e+00,4.2400e-03,1.5320e-04
6.5000e+02,1.7000e+03,1.6132e-16,4.0800e+00,2.4160e-03,1.1570e-04
5.0000e+01,1.2500e+03,6.5820e-17,1.0000e+01,4.5430e-04,3.9900e-05
6.5000e+02,1.7000e+03,6.5820e-17,1.0000e+01,1.2660e-03,8.6750e-05
6.5000e+02,1.9000e+03,2.0829e-13,3.1600e-03,2.7360e-05,1.5910e-05
6.5000e+02,1.9000e+03,8.5039e-14,7.7400e-03,4.5370e-04,5.5850e-05
6.5000e+02,1.9000e+03,3.4642e-14,1.9000e-02,1.7950e-03,1.1810e-04
6.5000e+02,1.9000e+03,1.4185e-14,4.6400e-02,3.1070e-03,1.5530e-04
6.5000e+02,1.9000e+03,5.7737e-15,1.1400e-01,3.3650e-03,1.5830e-04
6.5000e+02,1.9000e+03,2.3676e-15,2.7800e-01,2.9930e-03,1.4260e-04
6.5000e+02,1.9000e+03,9.6652e-16,6.8100e-01,2.1870e-03,1.1640e-04
6.5000e+02,1.9000e+03,3.9413e-16,1.6700e+00,1.4050e-03,8.7570e-05
6.5000e+02,1.9000e+03,1.6132e-16,4.0800e+00,7.5710e-04,6.2970e-05
5.0000e+01,1.5000e+03,2.0829e-13,3.1600e-03,1.4980e-02,2.9140e-04
6.5000e+02,1.9000e+03,6.5820e-17,1.0000e+01,4.1320e-04,4.6500e-05
6.5000e+02,2.1000e+03,2.0829e-13,3.1600e-03,2.1650e-05,1.1570e-05
6.5000e+02,2.1000e+03,8.5039e-14,7.7400e-03,1.4280e-04,2.7970e-05
6.5000e+02,2.1000e+03,3.4642e-14,1.9000e-02,5.4330e-04,5.9640e-05
6.5000e+02,2.1000e+03,1.4185e-14,4.6400e-02,9.6420e-04,8.4270e-05
6.5000e+02,2.1000e+03,5.7737e-15,1.1400e-01,1.1140e-03,9.2080e-05
6.5000e+02,2.1000e+03,2.3676e-15,2.7800e-01,9.5510e-04,8.1970e-05
6.5000e+02,2.1000e+03,9.6652e-16,6.8100e-01,7.0840e-04,6.4830e-05
6.5000e+02,2.1000e+03,3.9413e-16,1.6700e+00,3.6810e-04,4.4410e-05
6.5000e+02,2.1000e+03,1.6132e-16,4.0800e+00,1.8450e-04,2.9280e-05
5.0000e+01,1.5000e+03,8.5039e-14,7.7400e-03,1.9340e-02,3.4040e-04
6.5000e+02,2.1000e+03,6.5820e-17,1.0000e+01,8.5600e-05,2.1600e-05
6.5000e+02,2.3000e+03,2.0829e-13,3.1600e-03,0.0000e+00,0.0000e+00
6.5000e+02,2.3000e+03,8.5039e-14,7.7400e-03,6.8290e-05,2.3130e-05
6.5000e+02,2.3000e+03,3.4642e-14,1.9000e-02,2.3590e-04,4.1220e-05
6.5000e+02,2.3000e+03,1.4185e-14,4.6400e-02,4.3910e-04,5.8960e-05
6.5000e+02,2.3000e+03,5.7737e-15,1.1400e-01,4.5900e-04,5.9690e-05
6.5000e+02,2.3000e+03,2.3676e-15,2.7800e-01,4.3820e-04,5.6620e-05
6.5000e+02,2.3000e+03,9.6652e-16,6.8100e-01,3.3360e-04,4.9360e-05
6.5000e+02,2.3000e+03,3.9413e-16,1.6700e+00,2.1280e-04,3.8910e-05
6.5000e+02,2.3000e+03,1.6132e-16,4.0800e+00,9.0190e-05,2.3310e-05
5.0000e+01,1.5000e+03,3.4642e-14,1.9000e-02,1.8590e-02,3.2770e-04
6.5000e+02,2.3000e+03,6.5820e-17,1.0000e+01,7.2380e-05,2.3900e-05
6.5000e+02,2.5000e+03,2.0829e-13,3.1600e-03,0.0000e+00,0.0000e+00
6.5000e+02,2.5000e+03,8.5039e-14,7.7400e-03,3.2410e-05,1.4740e-05
6.5000e+02,2.5000e+03,3.4642e-14,1.9000e-02,1.7740e-04,3.7930e-05
6.5000e+02,2.5000e+03,1.4185e-14,4.6400e-02,2.4820e-04,4.3830e-05
6.5000e+02,2.5000e+03,5.7737e-15,1.1400e-01,2.6050e-04,4.3780e-05
6.5000e+02,2.5000e+03,2.3676e-15,2.7800e-01,2.0200e-04,3.6170e-05
6.5000e+02,2.5000e+03,9.6652e-16,6.8100e-01,1.1770e-04,2.4140e-05
6.5000e+02,2.5000e+03,3.9413e-16,1.6700e+00,7.7740e-05,2.0730e-05
6.5000e+02,2.5000e+03,1.6132e-16,4.0800e+00,5.3770e-05,2.0530e-05
5.0000e+01,1.5000e+03,1.4185e-14,4.6400e-02,1.4150e-02,2.6880e-04
6.5000e+02,2.5000e+03,6.5820e-17,1.0000e+01,1.8180e-05,8.0660e-06
6.5000e+02,2.7000e+03,2.0829e-13,3.1600e-03,0.0000e+00,0.0000e+00
6.5000e+02,2.7000e+03,8.5039e-14,7.7400e-03,1.8380e-05,1.1130e-05
6.5000e+02,2.7000e+03,3.4642e-14,1.9000e-02,7.4130e-05,2.2830e-05
6.5000e+02,2.7000e+03,1.4185e-14,4.6400e-02,9.5810e-05,2.5840e-05
6.5000e+02,2.7000e+03,5.7737e-15,1.1400e-01,1.0440e-04,2.8540e-05
6.5000e+02,2.7000e+03,2.3676e-15,2.7800e-01,9.5680e-05,2.7220e-05
6.5000e+02,2.7000e+03,9.6652e-16,6.8100e-01,4.8840e-05,1.6790e-05
6.5000e+02,2.7000e+03,3.9413e-16,1.6700e+00,6.0920e-06,3.5780e-06
6.5000e+02,2.7000e+03,1.6132e-16,4.0800e+00,1.7750e-05,1.1850e-05
5.0000e+01,1.5000e+03,5.7737e-15,1.1400e-01,8.6800e-03,1.9350e-04
6.5000e+02,2.7000e+03,6.5820e-17,1.0000e+01,0.0000e+00,0.0000e+00
6.5000e+02,2.9000e+03,2.0829e-13,3.1600e-03,0.0000e+00,0.0000e+00
6.5000e+02,2.9000e+03,8.5039e-14,7.7400e-03,1.2840e-05,9.8730e-06
6.5000e+02,2.9000e+03,3.4642e-14,1.9000e-02,3.8720e-05,1.5200e-05
6.5000e+02,2.9000e+03,1.4185e-14,4.6400e-02,4.2060e-05,1.5190e-05
6.5000e+02,2.9000e+03,5.7737e-15,1.1400e-01,5.0870e-05,1.6780e-05
6.5000e+02,2.9000e+03,2.3676e-15,2.7800e-01,5.1980e-05,1.7190e-05
6.5000e+02,2.9000e+03,9.6652e-16,6.8100e-01,2.6400e-05,1.1620e-05
6.5000e+02,2.9000e+03,3.9413e-16,1.6700e+00,2.6560e-05,1.1670e-05
6.5000e+02,2.9000e+03,1.6132e-16,4.0800e+00,1.8100e-05,8.5550e-06
5.0000e+01,1.5000e+03,2.3676e-15,2.7800e-01,4.6790e-03,1.3510e-04
6.5000e+02,2.9000e+03,6.5820e-17,1.0000e+01,9.6260e-06,7.1250e-06
8.5000e+02,1.0000e+03,2.0829e-13,3.1600e-03,3.3400e-04,5.2850e-05
8.5000e+02,1.0000e+03,8.5039e-14,7.7400e-03,1.6410e-02,4.6140e-04
8.5000e+02,1.0000e+03,3.4642e-14,1.9000e-02,9.1280e-02,1.1730e-03
8.5000e+02,1.0000e+03,1.4185e-14,4.6400e-02,1.9430e-01,1.7920e-03
8.5000e+02,1.0000e+03,5.7737e-15,1.1400e-01,2.4610e-01,2.0500e-03
8.5000e+02,1.0000e+03,2.3676e-15,2.7800e-01,2.3640e-01,1.9760e-03
8.5000e+02,1.0000e+03,9.6652e-16,6.8100e-01,1.8840e-01,1.6880e-03
8.5000e+02,1.0000e+03,3.9413e-16,1.6700e+00,1.2290e-01,1.2990e-03
8.5000e+02,1.0000e+03,1.6132e-16,4.0800e+00,6.7600e-02,9.1900e-04
5.0000e+01,1.5000e+03,9.6652e-16,6.8100e-01,2.2660e-03,9.1550e-05
8.5000e+02,1.0000e+03,6.5820e-17,1.0000e+01,2.9500e-02,5.6900e-04
8.5000e+02,1.2500e+03,2.0829e-13,3.1600e-03,1.4580e-04,3.1130e-05
8.5000e+02,1.2500e+03,8.5039e-14,7.7400e-03,6.7050e-03,2.4770e-04
8.5000e+02,1.2500e+03,3.4642e-14,1.9000e-02,4.1180e-02,6.5400e-04
8.5000e+02,1.2500e+03,1.4185e-14,4.6400e-02,9.0240e-02,1.0020e-03
8.5000e+02,1.2500e+03,5.7737e-15,1.1400e-01,1.1270e-01,1.1270e-03
8.5000e+02,1.2500e+03,2.3676e-15,2.7800e-01,1.0910e-01,1.0900e-03
8.5000e+02,1.2500e+03,9.6652e-16,6.8100e-01,8.8720e-02,9.4240e-04
8.5000e+02,1.2500e+03,3.9413e-16,1.6700e+00,5.8440e-02,7.2130e-04
8.5000e+02,1.2500e+03,1.6132e-16,4.0800e+00,3.2300e-02,5.0800e-04
5.0000e+01,1.5000e+03,3.9413e-16,1.6700e+00,9.5300e-04,5.6920e-05
8.5000e+02,1.2500e+03,6.5820e-17,1.0000e+01,1.6210e-02,3.4680e-04
8.5000e+02,1.5000e+03,2.0829e-13,3.1600e-03,7.1550e-05,2.1520e-05
8.5000e+02,1.5000e+03,8.5039e-14,7.7400e-03,2.3770e-03,1.3100e-04
8.5000e+02,1.5000e+03,3.4642e-14,1.9000e-02,1.2790e-02,3.1670e-04
8.5000e+02,1.5000e+03,1.4185e-14,4.6400e-02,2.5940e-02,4.5940e-04
8.5000e+02,1.5000e+03,5.7737e-15,1.1400e-01,3.1900e-02,5.1100e-04
8.5000e+02,1.5000e+03,2.3676e-15,2.7800e-01,3.0630e-02,4.8900e-04
8.5000e+02,1.5000e+03,9.6652e-16,6.8100e-01,2.4320e-02,4.1370e-04
8.5000e+02,1.5000e+03,3.9413e-16,1.6700e+00,1.6370e-02,3.2220e-04
8.5000e+02,1.5000e+03,1.6132e-16,4.0800e+00,9.8350e-03,2.4740e-04
5.0000e+01,1.5000e+03,1.6132e-16,4.0800e+00,3.7040e-04,3.5910e-05
8.5000e+02,1.5000e+03,6.5820e-17,1.0000e+01,5.4640e-03,1.8850e-04
8.5000e+02,1.7000e+03,2.0829e-13,3.1600e-03,1.0350e-05,7.8760e-06
8.5000e+02,1.7000e+03,8.5039e-14,7.7400e-03,6.1590e-04,6.5670e-05
8.5000e+02,1.7000e+03,3.4642e-14,1.9000e-02,3.6370e-03,1.5970e-04
8.5000e+02,1.7000e+03,1.4185e-14,4.6400e-02,7.8070e-03,2.3840e-04
8.5000e+02,1.7000e+03,5.7737e-15,1.1400e-01,9.3740e-03,2.6220e-04
8.5000e+02,1.7000e+03,2.3676e-15,2.7800e-01,9.1130e-03,2.5170e-04
8.5000e+02,1.7000e+03,9.6652e-16,6.8100e-01,7.4050e-03,2.1850e-04
8.5000e+02,1.7000e+03,3.9413e-16,1.6700e+00,4.8950e-03,1.6980e-04
8.5000e+02,1.7000e+03,1.6132e-16,4.0800e+00,2.8750e-03,1.2940e-04
5.0000e+01,1.5000e+03,6.5820e-17,1.0000e+01,1.2140e-04,1.8900e-05
8.5000e+02,1.7000e+03,6.5820e-17,1.0000e+01,1.5590e-03,9.4070e-05
8.5000e+02,1.9000e+03,2.0829e-13,3.1600e-03,0.0000e+00,0.0000e+00
8.5000e+02,1.9000e+03,8.5039e-14,7.7400e-03,1.5360e-04,2.9040e-05
8.5000e+02,1.9000e+03,3.4642e-14,1.9000e-02,1.0090e-03,8.1440e-05
8.5000e+02,1.9000e+03,1.4185e-14,4.6400e-02,2.1100e-03,1.2320e-04
8.5000e+02,1.9000e+03,5.7737e-15,1.1400e-01,2.5900e-03,1.3530e-04
8.5000e+02,1.9000e+03,2.3676e-15,2.7800e-01,2.4110e-03,1.2580e-04
8.5000e+02,1.9000e+03,9.6652e-16,6.8100e-01,1.7800e-03,1.0080e-04
8.5000e+02,1.9000e+03,3.9413e-16,1.6700e+00,1.2010e-03,7.7440e-05
8.5000e+02,1.9000e+03,1.6132e-16,4.0800e+00,7.4040e-04,6.3680e-05
5.0000e+01,1.7000e+03,2.0829e-13,3.1600e-03,6.3040e-03,1.8590e-04
