#Efficiencies for the Trackless SR obtained with recasting for the Strong model:
# (pp > Gluino Gluino, Gluino > q,q,N1).
  mN1_GeV, mGluino_GeV, width_GeV, tau_ns,     Eff,       EffErr
2.4500e+03,2.5000e+03,6.5820e-17,1.0000e+01,1.7260e-04,3.3770e-05
2.4500e+03,2.7000e+03,2.0829e-13,3.1600e-03,0.0000e+00,0.0000e+00
2.4500e+03,2.7000e+03,8.5039e-14,7.7400e-03,0.0000e+00,0.0000e+00
2.4500e+03,2.7000e+03,3.4642e-14,1.9000e-02,0.0000e+00,0.0000e+00
2.4500e+03,2.7000e+03,1.4185e-14,4.6400e-02,4.6550e-05,1.6950e-05
2.4500e+03,2.7000e+03,5.7737e-15,1.1400e-01,1.4280e-04,3.4700e-05
2.4500e+03,2.7000e+03,2.3676e-15,2.7800e-01,2.1350e-04,4.4490e-05
2.4500e+03,2.7000e+03,9.6652e-16,6.8100e-01,2.1180e-04,4.0360e-05
2.4500e+03,2.7000e+03,3.9413e-16,1.6700e+00,1.4280e-04,2.8530e-05
2.4500e+03,2.7000e+03,1.6132e-16,4.0800e+00,9.7010e-05,2.2970e-05
5.0000e+01,2.7000e+03,5.7737e-15,1.1400e-01,1.1530e-04,2.4840e-05
2.4500e+03,2.7000e+03,6.5820e-17,1.0000e+01,7.2990e-05,1.9860e-05
2.4500e+03,2.9000e+03,2.0829e-13,3.1600e-03,0.0000e+00,0.0000e+00
2.4500e+03,2.9000e+03,8.5039e-14,7.7400e-03,0.0000e+00,0.0000e+00
2.4500e+03,2.9000e+03,3.4642e-14,1.9000e-02,5.2450e-06,5.2450e-06
2.4500e+03,2.9000e+03,1.4185e-14,4.6400e-02,9.1890e-06,6.5620e-06
2.4500e+03,2.9000e+03,5.7737e-15,1.1400e-01,2.4230e-05,1.2400e-05
2.4500e+03,2.9000e+03,2.3676e-15,2.7800e-01,4.3900e-05,1.8600e-05
2.4500e+03,2.9000e+03,9.6652e-16,6.8100e-01,3.4660e-05,1.6230e-05
2.4500e+03,2.9000e+03,3.9413e-16,1.6700e+00,2.0670e-05,1.0680e-05
2.4500e+03,2.9000e+03,1.6132e-16,4.0800e+00,1.7010e-05,9.4380e-06
5.0000e+01,2.7000e+03,2.3676e-15,2.7800e-01,6.1700e-05,1.7240e-05
2.4500e+03,2.9000e+03,6.5820e-17,1.0000e+01,2.0500e-06,1.5570e-06
2.6500e+03,2.7000e+03,2.0829e-13,3.1600e-03,0.0000e+00,0.0000e+00
2.6500e+03,2.7000e+03,8.5039e-14,7.7400e-03,0.0000e+00,0.0000e+00
2.6500e+03,2.7000e+03,3.4642e-14,1.9000e-02,1.7860e-05,1.0560e-05
2.6500e+03,2.7000e+03,1.4185e-14,4.6400e-02,1.5650e-04,3.5600e-05
2.6500e+03,2.7000e+03,5.7737e-15,1.1400e-01,3.3000e-04,5.3480e-05
2.6500e+03,2.7000e+03,2.3676e-15,2.7800e-01,4.1200e-04,5.9890e-05
2.6500e+03,2.7000e+03,9.6652e-16,6.8100e-01,4.3600e-04,6.2150e-05
2.6500e+03,2.7000e+03,3.9413e-16,1.6700e+00,3.0720e-04,4.6190e-05
2.6500e+03,2.7000e+03,1.6132e-16,4.0800e+00,2.3820e-04,4.0240e-05
5.0000e+01,2.7000e+03,9.6652e-16,6.8100e-01,3.2610e-05,1.2290e-05
2.6500e+03,2.7000e+03,6.5820e-17,1.0000e+01,1.1460e-04,2.8430e-05
2.6500e+03,2.9000e+03,2.0829e-13,3.1600e-03,0.0000e+00,0.0000e+00
2.6500e+03,2.9000e+03,8.5039e-14,7.7400e-03,0.0000e+00,0.0000e+00
2.6500e+03,2.9000e+03,3.4642e-14,1.9000e-02,0.0000e+00,0.0000e+00
2.6500e+03,2.9000e+03,1.4185e-14,4.6400e-02,3.9990e-05,1.6750e-05
2.6500e+03,2.9000e+03,5.7737e-15,1.1400e-01,6.0850e-05,1.9260e-05
2.6500e+03,2.9000e+03,2.3676e-15,2.7800e-01,7.9340e-05,2.2080e-05
2.6500e+03,2.9000e+03,9.6652e-16,6.8100e-01,1.2730e-04,2.9920e-05
2.6500e+03,2.9000e+03,3.9413e-16,1.6700e+00,9.9330e-05,2.6290e-05
2.6500e+03,2.9000e+03,1.6132e-16,4.0800e+00,6.0520e-05,2.0380e-05
5.0000e+01,2.7000e+03,3.9413e-16,1.6700e+00,4.9580e-06,4.5010e-06
2.6500e+03,2.9000e+03,6.5820e-17,1.0000e+01,2.6020e-05,1.1030e-05
2.8500e+03,2.9000e+03,2.0829e-13,3.1600e-03,0.0000e+00,0.0000e+00
2.8500e+03,2.9000e+03,8.5039e-14,7.7400e-03,0.0000e+00,0.0000e+00
2.8500e+03,2.9000e+03,3.4642e-14,1.9000e-02,0.0000e+00,0.0000e+00
2.8500e+03,2.9000e+03,1.4185e-14,4.6400e-02,9.5980e-05,3.4190e-05
2.8500e+03,2.9000e+03,5.7737e-15,1.1400e-01,2.2110e-04,4.9910e-05
2.8500e+03,2.9000e+03,2.3676e-15,2.7800e-01,2.5670e-04,5.1910e-05
2.8500e+03,2.9000e+03,9.6652e-16,6.8100e-01,2.7280e-04,5.3150e-05
2.8500e+03,2.9000e+03,3.9413e-16,1.6700e+00,1.8900e-04,3.8430e-05
2.8500e+03,2.9000e+03,1.6132e-16,4.0800e+00,1.1270e-04,2.6840e-05
5.0000e+01,2.7000e+03,1.6132e-16,4.0800e+00,0.0000e+00,0.0000e+00
5.0000e+01,5.0000e+02,6.5820e-17,1.0000e+01,5.9470e-04,5.3580e-05
2.8500e+03,2.9000e+03,6.5820e-17,1.0000e+01,3.9700e-05,1.2080e-05
5.0000e+01,2.7000e+03,6.5820e-17,1.0000e+01,0.0000e+00,0.0000e+00
5.0000e+01,2.9000e+03,2.0829e-13,3.1600e-03,1.3490e-04,2.5600e-05
5.0000e+01,2.9000e+03,8.5039e-14,7.7400e-03,1.3610e-04,2.5470e-05
5.0000e+01,2.9000e+03,3.4642e-14,1.9000e-02,1.0720e-04,1.8810e-05
5.0000e+01,2.9000e+03,1.4185e-14,4.6400e-02,1.2110e-04,2.4260e-05
5.0000e+01,2.9000e+03,5.7737e-15,1.1400e-01,6.6620e-05,1.8530e-05
5.0000e+01,2.9000e+03,2.3676e-15,2.7800e-01,3.8440e-05,1.2550e-05
5.0000e+01,2.9000e+03,9.6652e-16,6.8100e-01,1.5890e-05,6.3710e-06
5.0000e+01,2.9000e+03,3.9413e-16,1.6700e+00,6.9830e-06,3.8040e-06
5.0000e+01,2.9000e+03,1.6132e-16,4.0800e+00,7.7650e-07,7.7650e-07
5.0000e+01,7.5000e+02,2.0829e-13,3.1600e-03,1.1100e-01,1.1640e-03
5.0000e+01,2.9000e+03,6.5820e-17,1.0000e+01,0.0000e+00,0.0000e+00
2.5000e+02,5.0000e+02,2.0829e-13,3.1600e-03,1.6040e-02,6.1280e-04
2.5000e+02,5.0000e+02,8.5039e-14,7.7400e-03,1.0900e-01,1.6730e-03
2.5000e+02,5.0000e+02,3.4642e-14,1.9000e-02,2.7570e-01,2.7380e-03
2.5000e+02,5.0000e+02,1.4185e-14,4.6400e-02,3.8300e-01,3.2630e-03
2.5000e+02,5.0000e+02,5.7737e-15,1.1400e-01,3.8660e-01,3.2280e-03
2.5000e+02,5.0000e+02,2.3676e-15,2.7800e-01,3.2000e-01,2.8060e-03
2.5000e+02,5.0000e+02,9.6652e-16,6.8100e-01,2.1610e-01,2.1690e-03
2.5000e+02,5.0000e+02,3.9413e-16,1.6700e+00,1.1630e-01,1.5040e-03
2.5000e+02,5.0000e+02,1.6132e-16,4.0800e+00,4.7620e-02,9.1840e-04
5.0000e+01,7.5000e+02,8.5039e-14,7.7400e-03,1.6570e-01,1.4680e-03
2.5000e+02,5.0000e+02,6.5820e-17,1.0000e+01,1.4550e-02,4.6760e-04
2.5000e+02,7.5000e+02,2.0829e-13,3.1600e-03,2.5780e-02,6.9780e-04
2.5000e+02,7.5000e+02,8.5039e-14,7.7400e-03,1.3860e-01,1.6950e-03
2.5000e+02,7.5000e+02,3.4642e-14,1.9000e-02,2.9450e-01,2.5340e-03
2.5000e+02,7.5000e+02,1.4185e-14,4.6400e-02,3.7380e-01,2.8700e-03
2.5000e+02,7.5000e+02,5.7737e-15,1.1400e-01,3.5930e-01,2.7460e-03
2.5000e+02,7.5000e+02,2.3676e-15,2.7800e-01,2.8760e-01,2.3320e-03
2.5000e+02,7.5000e+02,9.6652e-16,6.8100e-01,1.9040e-01,1.7850e-03
2.5000e+02,7.5000e+02,3.9413e-16,1.6700e+00,9.7770e-02,1.1960e-03
2.5000e+02,7.5000e+02,1.6132e-16,4.0800e+00,3.9620e-02,7.0150e-04
5.0000e+01,7.5000e+02,3.4642e-14,1.9000e-02,1.7370e-01,1.4760e-03
2.5000e+02,7.5000e+02,6.5820e-17,1.0000e+01,1.3550e-02,3.7180e-04
2.5000e+02,1.0000e+03,2.0829e-13,3.1600e-03,2.2260e-02,5.3740e-04
2.5000e+02,1.0000e+03,8.5039e-14,7.7400e-03,1.0230e-01,1.2190e-03
2.5000e+02,1.0000e+03,3.4642e-14,1.9000e-02,1.9140e-01,1.7220e-03
2.5000e+02,1.0000e+03,1.4185e-14,4.6400e-02,2.2290e-01,1.8630e-03
2.5000e+02,1.0000e+03,5.7737e-15,1.1400e-01,2.0800e-01,1.7450e-03
2.5000e+02,1.0000e+03,2.3676e-15,2.7800e-01,1.6130e-01,1.4510e-03
2.5000e+02,1.0000e+03,9.6652e-16,6.8100e-01,1.0220e-01,1.0830e-03
2.5000e+02,1.0000e+03,3.9413e-16,1.6700e+00,5.2750e-02,7.2680e-04
2.5000e+02,1.0000e+03,1.6132e-16,4.0800e+00,2.3710e-02,4.6160e-04
5.0000e+01,7.5000e+02,1.4185e-14,4.6400e-02,1.4470e-01,1.2740e-03
2.5000e+02,1.0000e+03,6.5820e-17,1.0000e+01,9.1410e-03,2.6450e-04
2.5000e+02,1.2500e+03,2.0829e-13,3.1600e-03,1.3560e-02,3.5460e-04
2.5000e+02,1.2500e+03,8.5039e-14,7.7400e-03,5.3090e-02,7.3770e-04
2.5000e+02,1.2500e+03,3.4642e-14,1.9000e-02,9.1920e-02,1.0020e-03
2.5000e+02,1.2500e+03,1.4185e-14,4.6400e-02,1.0340e-01,1.0670e-03
2.5000e+02,1.2500e+03,5.7737e-15,1.1400e-01,9.3990e-02,9.8720e-04
2.5000e+02,1.2500e+03,2.3676e-15,2.7800e-01,7.1010e-02,8.1310e-04
2.5000e+02,1.2500e+03,9.6652e-16,6.8100e-01,4.4390e-02,6.0220e-04
2.5000e+02,1.2500e+03,3.9413e-16,1.6700e+00,2.3420e-02,4.1570e-04
2.5000e+02,1.2500e+03,1.6132e-16,4.0800e+00,1.1400e-02,2.8340e-04
