 C_Mass(GeV)   N_Mass(GeV)     tau(ns)    Init_xs(fb)      EAxEE          TAxTE         EAxEExTAxTE      total_eff     xs100(fb)     xslim(fb)         Ntr          r       MCev 
   199.716     199.544         0.025      2375.201      6.1000e-02      2.0966e-04      1.2789e-05      9.2749e-06    2.203e-02     2.372e+04       7.95e-01    1.00e-01    9271 
   199.716     199.544         0.030      2375.201      6.1000e-02      4.4614e-04      2.7214e-05      1.9594e-05    4.654e-02     1.123e+04       1.68e+00    2.12e-01    18699 
   199.716     199.544         0.040      2375.201      6.1000e-02      1.3251e-03      8.0829e-05      5.7706e-05    1.371e-01     3.812e+03       4.95e+00    6.23e-01    51432 
   199.716     199.544         0.050      2375.201      6.1000e-02      2.8082e-03      1.7130e-04      1.2188e-04    2.895e-01     1.805e+03       1.05e+01    1.32e+00    102620 
   199.716     199.544         0.060      2375.201      6.1000e-02      4.8381e-03      2.9512e-04      2.0923e-04    4.970e-01     1.051e+03       1.79e+01    2.26e+00    170583 
   199.716     199.544         0.070      2375.201      6.1000e-02      7.2945e-03      4.4496e-04      3.1501e-04    7.482e-01     6.984e+02       2.70e+01    3.40e+00    251032 
   199.716     199.544         0.080      2375.201      6.1000e-02      1.0130e-02      6.1793e-04      4.3704e-04    1.038e+00     5.034e+02       3.75e+01    4.72e+00    342129 
   199.716     199.544         0.090      2375.201      6.1000e-02      1.3289e-02      8.1064e-04      5.7277e-04    1.360e+00     3.841e+02       4.91e+01    6.18e+00    442870 
   199.716     199.544         0.100      2375.201      6.1000e-02      1.6519e-02      1.0077e-03      7.1142e-04    1.690e+00     3.092e+02       6.10e+01    7.68e+00    546370 
   199.716     199.544         0.150      2375.201      6.1000e-02      3.3482e-02      2.0424e-03      1.4371e-03    3.413e+00     1.531e+02       1.23e+02    1.55e+01    1096303 
   199.716     199.544         0.200      2375.201      6.1000e-02      4.8512e-02      2.9592e-03      2.0756e-03    4.930e+00     1.060e+02       1.78e+02    2.24e+01    1609150 
   199.716     199.544         0.250      2375.201      6.1000e-02      6.0408e-02      3.6848e-03      2.5753e-03    6.117e+00     8.543e+01       2.21e+02    2.78e+01    2055576 
