 C_Mass(GeV)   N_Mass(GeV)    tau(ns)    Init_xs(fb)     EAxEE          TAxTE         EAxEExTAxTE      total_eff     xs100(fb)     xslim(fb)         Ntr          r       MCev 
   200.000     199.843         0.025      710.687      1.5884e-01      2.2185e-04      3.5239e-05      9.6156e-06    6.834e-03     2.288e+04       2.47e-01    3.11e-02    14387 
   200.000     199.843         0.030      710.687      1.5884e-01      4.6904e-04      7.4504e-05      2.0415e-05    1.451e-02     1.078e+04       5.24e-01    6.60e-02    29150 
   200.000     199.843         0.040      710.687      1.5884e-01      1.3864e-03      2.2022e-04      6.0305e-05    4.286e-02     3.648e+03       1.55e+00    1.95e-01    78339 
   200.000     199.843         0.050      710.687      1.5884e-01      2.8747e-03      4.5663e-04      1.2477e-04    8.867e-02     1.763e+03       3.20e+00    4.03e-01    153327 
   200.000     199.843         0.060      710.687      1.5884e-01      4.9584e-03      7.8760e-04      2.1504e-04    1.528e-01     1.023e+03       5.52e+00    6.95e-01    253750 
   200.000     199.843         0.070      710.687      1.5884e-01      7.4794e-03      1.1881e-03      3.2411e-04    2.303e-01     6.788e+02       8.32e+00    1.05e+00    372356 
   200.000     199.843         0.080      710.687      1.5884e-01      1.0332e-02      1.6411e-03      4.4703e-04    3.177e-01     4.921e+02       1.15e+01    1.44e+00    505233 
   200.000     199.843         0.090      710.687      1.5884e-01      1.3502e-02      2.1446e-03      5.8348e-04    4.147e-01     3.770e+02       1.50e+01    1.89e+00    651812 
   200.000     199.843         0.100      710.687      1.5884e-01      1.6800e-02      2.6685e-03      7.2589e-04    5.159e-01     3.031e+02       1.86e+01    2.35e+00    803251 
   200.000     199.843         0.150      710.687      1.5884e-01      3.3774e-02      5.3647e-03      1.4545e-03    1.034e+00     1.513e+02       3.73e+01    4.70e+00    1597568 
   200.000     199.843         0.200      710.687      1.5884e-01      4.8830e-02      7.7563e-03      2.0956e-03    1.489e+00     1.050e+02       5.38e+01    6.77e+00    2344526 
   200.000     199.843         0.250      710.687      1.5884e-01      6.0783e-02      9.6550e-03      2.5982e-03    1.846e+00     8.467e+01       6.67e+01    8.39e+00    2991651 
   200.000     199.843         0.300      710.687      1.5884e-01      6.9937e-02      1.1109e-02      2.9766e-03    2.115e+00     7.391e+01       7.64e+01    9.61e+00    3539074 
   200.000     199.843         0.400      710.687      1.5884e-01      8.1645e-02      1.2969e-02      3.4437e-03    2.447e+00     6.388e+01       8.83e+01    1.11e+01    4384808 
   200.000     199.843         0.500      710.687      1.5884e-01      8.7556e-02      1.3908e-02      3.6600e-03    2.601e+00     6.011e+01       9.39e+01    1.18e+01    4990524 
   200.000     199.843         0.600      710.687      1.5884e-01      9.0218e-02      1.4331e-02      3.7396e-03    2.658e+00     5.883e+01       9.59e+01    1.21e+01    5437003 
   200.000     199.843         0.700      710.687      1.5884e-01      9.0703e-02      1.4408e-02      3.7297e-03    2.651e+00     5.899e+01       9.57e+01    1.20e+01    5767787 
   200.000     199.843         0.800      710.687      1.5884e-01      9.0110e-02      1.4313e-02      3.6795e-03    2.615e+00     5.979e+01       9.44e+01    1.19e+01    6023285 
   200.000     199.843         0.900      710.687      1.5884e-01      8.8728e-02      1.4094e-02      3.5990e-03    2.558e+00     6.113e+01       9.23e+01    1.16e+01    6222936 
   200.000     199.843         1.000      710.687      1.5884e-01      8.6846e-02      1.3795e-02      3.5019e-03    2.489e+00     6.282e+01       8.98e+01    1.13e+01    6377483 
   200.000     199.843         1.500      710.687      1.5884e-01      7.6147e-02      1.2095e-02      3.0015e-03    2.133e+00     7.330e+01       7.70e+01    9.70e+00    6832352 
   200.000     199.843         2.000      710.687      1.5884e-01      6.6385e-02      1.0545e-02      2.5777e-03    1.832e+00     8.535e+01       6.61e+01    8.33e+00    7024681 
