Barrel_sigma1,Y,Barrel_sigma2,Y,Transition_sigma1,Y,Transition_sigma2,Y,Endcap_sigma1,Y,Endcap_sigma2,Y
0.201533768594174,356.818655493467,0.201533768594174,668.613013465275,0.203222137271025,454.29991686721,0.204924650420086,760.534432499607,0.201533768594174,690.495478631069,0.203222137271025,1471.74364035974
0.246209240149463,284.80358684358,0.246209240149463,525.145586984224,0.248271881918728,359.70299668827,0.248271881918728,657.933224657568,0.250351803669304,607.039264789508,0.248271881918728,1232.84673944207
0.30078825180431,231.012970008316,0.30078825180431,432.876128108306,0.303308134532917,301.315157391323,0.30078825180431,587.801607227491,0.30078825180431,533.669923120631,0.303308134532917,1057.97529002614
0.367466194073669,193.514399541733,0.370544677725336,396.188712194143,0.367466194073669,234.762848626795,0.367466194073669,476.784006009948,0.367466194073669,432.876128108306,0.370544677725336,930.103906684783
0.448925125821861,172.886959966942,0.448925125821861,345.510729459222,0.448925125821861,203.091762090473,0.452686039568359,425.961776256051,0.448925125821861,345.510729459222,0.448925125821861,736.432365590273
0.55303628074773,143.662247812553,0.548441657612102,329.217200433477,0.548441657612102,156.965495670054,0.548441657612102,351.119173421513,0.548441657612102,280.254405033009,0.548441657612101,616.892926077569
0.670018750350959,106.652742614662,0.675631897362932,229.160552230139,0.670018750350959,140.233943470689,0.664452237341172,269.196822958448,0.675631897362932,238.573596510115,0.681292069057962,484.523321035009
0.818546730706903,89.3406177402611,0.818546730706903,170.125427985259,0.818546730706903,111.93117143059,0.83231908881927,220.118904466429,0.818546730706903,181.443434831211,0.825404185268018,374.478228299975
1,76.0534432499607,1,145.99422073743,1.00837759690909,93.0103906684783,1,178.54522985237,1,156.965495670054,1,318.783991030357
1.22167734899679,66.8613013465276,1.22167734899679,131.48648598504,1.22167734899679,81.1130830789688,1.22167734899679,164.733989710987,1.22167734899679,123.284673944207,1.22167734899679,258.575523486906
1.49249554505183,57.8412623017499,1.49249554505183,115.594471292347,1.49249554505183,66.8613013465276,1.49249554505183,142.5102670303,1.49249554505183,101.623232937243,1.49249554505183,213.143124887295
1.82334800086844,52.0934615533463,1.82334800086844,98.4026950429283,1.82334800086844,55.5591054695584,1.82334800086844,108.383965061257,1.82334800086844,92.2645706341173,1.82334800086844,182.910131612763
2.22754295199956,45.0657033774547,2.26502220406269,82.42973735992,2.22754295199956,49.2388263170674,2.22754295199956,87.9135756244174,2.26502220406269,77.2879677907016,2.22754295199956,147.174364035974
